date,home_team,away_team,home_goals,away_goals,ht_home_goals,ht_away_goals,home_shots,away_shots,home_sot,away_sot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,odds_home,odds_draw,odds_away,odds_btts_yes,odds_btts_no,odds_over25,odds_under25,odds_ah_line,odds_ah_home,odds_ah_away,league,season
2019-07-26,Genk,Kortrijk,2,1,0,1,10,8,2,4,6,2,7,22,0,1,0,0,1.36,4.75,8.5,,,1.53,2.4,-1.5,2.07,1.72,B1,2019-20
2019-07-27,Cercle Brugge,Standard,0,2,0,0,13,14,5,9,3,7,16,15,2,2,1,0,3.75,3.75,1.85,,,1.75,2.05,0.5,1.93,1.93,B1,2019-20
2019-07-27,St Truiden,Mouscron,0,1,0,1,10,10,4,6,5,5,10,21,2,4,0,0,1.9,3.75,3.75,,,1.8,2.0,-0.5,1.98,1.88,B1,2019-20
2019-07-27,Waregem,Mechelen,0,2,0,1,7,10,2,5,4,2,14,21,3,1,0,0,2.15,3.6,3.1,,,1.66,2.15,-0.25,1.93,1.93,B1,2019-20
2019-07-27,Waasland-Beveren,Club Brugge,1,3,1,1,7,25,2,22,1,14,18,12,3,1,0,0,6.5,4.0,1.5,,,1.57,2.35,1.0,1.98,1.88,B1,2019-20
2019-07-28,Anderlecht,Oostende,1,2,1,1,15,8,6,6,5,2,12,17,1,3,0,0,1.36,4.5,9.0,,,1.6,2.3,-1.25,1.85,2.0,B1,2019-20
2019-07-28,Charleroi,Gent,1,1,0,0,7,5,4,4,5,6,20,21,0,2,0,0,3.1,3.25,2.3,,,1.8,2.0,0.25,1.83,2.02,B1,2019-20
2019-07-28,Eupen,Antwerp,1,4,1,1,12,14,3,8,3,10,18,10,1,2,0,0,3.8,3.3,1.95,,,1.8,2.0,0.25,2.1,1.7,B1,2019-20
2019-08-02,Club Brugge,St Truiden,6,0,4,0,16,4,10,2,6,2,19,12,1,3,1,0,1.25,5.5,12.0,,,1.44,2.7,-1.75,1.9,1.95,B1,2019-20
2019-08-03,Standard,Waregem,4,0,2,0,16,3,7,1,4,2,19,18,0,2,0,1,1.53,4.33,5.5,,,1.53,2.4,-1.0,1.9,1.95,B1,2019-20
2019-08-03,Kortrijk,Charleroi,1,1,0,1,7,11,4,6,10,3,21,18,1,2,0,0,2.3,3.4,3.0,,,1.8,2.0,-0.25,2.02,1.83,B1,2019-20
2019-08-03,Oostende,Cercle Brugge,3,1,2,1,11,9,7,4,3,2,9,18,0,2,0,1,2.15,3.5,3.2,,,1.7,2.1,-0.25,1.95,1.9,B1,2019-20
2019-08-03,Mechelen,Genk,3,1,1,1,11,9,5,5,5,4,14,13,1,0,0,0,4.33,3.4,1.85,,,1.75,2.05,0.5,2.0,1.85,B1,2019-20
2019-08-04,Gent,Eupen,6,1,4,0,18,8,11,5,6,2,13,13,0,2,0,0,1.4,4.75,7.0,,,1.57,2.35,-1.5,2.02,1.77,B1,2019-20
2019-08-04,Mouscron,Anderlecht,0,0,0,0,7,9,2,3,4,4,15,18,2,4,0,0,3.4,3.5,2.05,,,1.72,2.07,0.25,2.02,1.83,B1,2019-20
2019-08-04,Antwerp,Waasland-Beveren,4,1,2,1,15,10,11,6,6,4,20,11,0,2,0,0,1.33,5.0,9.0,,,1.65,2.2,-1.5,2.0,1.8,B1,2019-20
2019-08-09,Anderlecht,Mechelen,0,0,0,0,12,1,4,0,8,1,12,11,0,2,0,1,1.75,4.2,4.0,,,1.6,2.3,-0.75,1.98,1.88,B1,2019-20
2019-08-10,Oostende,Club Brugge,0,2,0,0,8,10,4,8,3,6,11,17,0,0,0,0,7.0,4.2,1.45,,,1.5,2.5,1.25,1.85,2.0,B1,2019-20
2019-08-10,Cercle Brugge,Kortrijk,1,3,1,0,13,11,6,9,2,3,17,18,1,1,0,0,2.5,3.5,2.62,,,1.61,2.25,0.0,1.9,1.95,B1,2019-20
2019-08-10,Eupen,Waasland-Beveren,1,1,0,1,4,7,1,4,4,7,17,20,2,1,0,0,1.83,3.6,4.2,,,1.6,2.3,-0.5,1.88,1.98,B1,2019-20
2019-08-10,Genk,Waregem,0,2,0,1,10,8,3,7,3,2,16,20,1,2,0,0,1.22,6.0,13.0,,,1.36,3.1,-2.0,2.0,1.8,B1,2019-20
2019-08-11,St Truiden,Standard,2,1,2,0,6,25,5,9,0,5,16,16,4,4,0,1,4.33,3.8,1.72,,,1.65,2.2,0.75,1.9,1.95,B1,2019-20
2019-08-11,Charleroi,Antwerp,2,1,0,0,10,6,4,2,5,4,8,20,0,1,0,0,2.55,3.4,2.62,,,1.95,1.85,0.0,1.88,1.98,B1,2019-20
2019-08-11,Mouscron,Gent,2,1,2,1,6,11,2,4,2,7,15,15,0,1,0,0,3.5,3.75,2.0,,,1.65,2.2,0.5,1.83,2.02,B1,2019-20
2019-08-16,Club Brugge,Eupen,0,0,0,0,11,7,1,3,7,3,12,19,3,4,0,0,1.14,8.0,11.0,,,1.3,3.5,-2.0,1.9,1.95,B1,2019-20
2019-08-17,Kortrijk,Anderlecht,4,2,0,1,8,9,5,5,1,3,15,21,1,1,0,0,3.0,3.5,2.1,,,1.7,2.1,0.25,1.8,2.05,B1,2019-20
2019-08-17,Mechelen,Cercle Brugge,3,1,0,1,7,3,4,2,5,3,8,22,0,4,0,0,1.4,4.33,9.0,,,1.65,2.2,-1.25,1.95,1.9,B1,2019-20
2019-08-17,Waasland-Beveren,Genk,0,4,0,1,7,16,2,5,3,3,14,4,2,0,0,0,6.5,4.75,1.36,,,1.5,2.5,1.25,1.98,1.88,B1,2019-20
2019-08-18,Standard,Mouscron,4,1,2,0,10,2,6,0,3,4,8,16,0,1,0,0,1.45,4.5,5.25,,,1.61,2.25,-1.0,1.88,1.98,B1,2019-20
2019-08-18,Antwerp,St Truiden,2,0,1,0,15,6,4,3,5,4,14,13,0,4,0,1,1.45,4.33,5.5,,,1.7,2.1,-1.0,1.88,1.98,B1,2019-20
2019-08-18,Gent,Oostende,2,0,0,0,11,5,4,2,5,4,6,15,0,1,0,0,1.33,5.5,7.5,,,1.5,2.5,-1.5,2.05,1.8,B1,2019-20
2019-08-19,Waregem,Charleroi,3,1,1,0,5,4,3,2,3,5,13,15,2,1,0,0,2.8,3.3,2.3,,,1.65,2.2,0.25,1.8,2.05,B1,2019-20
2019-08-23,Genk,Anderlecht,1,0,0,0,6,8,4,2,5,10,8,16,0,1,0,0,1.72,3.8,4.5,,,1.65,2.2,-0.75,2.0,1.85,B1,2019-20
2019-08-24,Cercle Brugge,Waasland-Beveren,1,0,0,0,7,10,2,2,3,7,13,8,2,1,0,0,2.0,3.6,3.5,,,1.53,2.4,-0.5,2.0,1.85,B1,2019-20
2019-08-24,St Truiden,Waregem,0,0,0,0,13,8,2,2,5,4,15,15,2,1,0,0,2.25,3.5,3.0,,,1.47,2.6,-0.25,2.0,1.85,B1,2019-20
2019-08-24,Oostende,Mechelen,2,1,0,0,13,11,8,6,6,9,18,12,2,3,0,0,3.1,3.5,2.2,,,1.66,2.15,0.25,1.93,1.93,B1,2019-20
2019-08-25,Standard,Kortrijk,2,1,0,1,8,6,5,2,7,3,9,18,2,3,1,0,1.5,4.5,5.75,,,1.61,2.25,-1.0,1.88,1.98,B1,2019-20
2019-08-25,Mouscron,Eupen,2,0,1,0,5,6,4,2,6,6,17,11,3,3,0,0,1.72,3.75,4.5,,,1.8,2.0,-0.75,1.93,1.93,B1,2019-20
2019-08-30,Mechelen,Mouscron,2,2,2,1,8,10,4,5,5,7,13,16,1,1,0,0,1.95,3.75,3.5,,,1.85,1.95,-0.5,2.0,1.85,B1,2019-20
