date,home_team,away_team,home_goals,away_goals,ht_home_goals,ht_away_goals,home_shots,away_shots,home_sot,away_sot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,odds_home,odds_draw,odds_away,odds_btts_yes,odds_btts_no,odds_over25,odds_under25,odds_ah_line,odds_ah_home,odds_ah_away,league,season
2002-08-10,Burnley,Brighton,1,3,0,1,17,11,7,8,8,4,14,10,0,3,1,0,1.8,3.25,4.0,,,,,,,,E1,2002-03
2002-08-10,Coventry,Sheffield United,2,1,2,1,8,16,5,10,7,11,24,21,4,2,0,0,1.727,3.5,4.0,,,,,,,,E1,2002-03
2002-08-10,Derby,Reading,3,0,0,0,16,5,10,2,8,5,13,12,4,3,0,0,1.533,3.5,5.5,,,,,,,,E1,2002-03
2002-08-10,Leicester,Watford,2,0,0,0,11,2,9,2,8,5,16,16,1,0,0,0,1.727,3.25,4.333,,,,,,,,E1,2002-03
2002-08-10,Millwall,Rotherham,0,6,0,2,11,9,3,7,6,1,13,11,3,1,0,0,1.444,3.75,6.5,,,,,,,,E1,2002-03
2002-08-10,Norwich,Grimsby,4,0,2,0,13,11,8,3,5,6,10,6,2,0,0,0,1.571,3.4,5.5,,,,,,,,E1,2002-03
2002-08-10,Portsmouth,Nott'm Forest,2,0,2,0,11,4,7,2,4,5,14,14,2,1,0,0,1.8,3.25,4.0,,,,,,,,E1,2002-03
2002-08-10,Preston,Crystal Palace,1,2,0,0,12,9,9,4,8,8,13,23,1,2,1,0,1.8,3.25,4.0,,,,,,,,E1,2002-03
2002-08-10,Sheffield Weds,Stoke,0,0,0,0,14,9,9,3,8,3,7,3,0,0,0,0,1.909,3.25,3.5,,,,,,,,E1,2002-03
2002-08-10,Walsall,Ipswich,0,2,0,1,7,16,4,12,3,4,18,15,1,2,0,0,3.5,3.25,1.909,,,,,,,,E1,2002-03
2002-08-10,Wimbledon,Gillingham,0,1,0,0,9,17,2,9,4,5,11,20,2,1,0,0,1.833,3.25,3.75,,,,,,,,E1,2002-03
2002-08-11,Bradford,Wolves,0,0,0,0,6,12,4,4,7,13,17,15,3,4,0,0,3.75,3.4,1.8,,,,,,,,E1,2002-03
2002-08-13,Brighton,Coventry,0,0,0,0,6,14,5,5,6,1,20,19,1,4,0,1,2.375,3.2,2.625,,,,,,,,E1,2002-03
2002-08-13,Crystal Palace,Bradford,1,1,0,0,11,6,4,4,12,2,15,14,2,3,0,0,1.667,3.4,4.5,,,,,,,,E1,2002-03
2002-08-13,Gillingham,Derby,1,0,1,0,14,11,4,4,12,1,8,13,2,2,0,0,3.0,3.25,2.1,,,,,,,,E1,2002-03
2002-08-13,Grimsby,Wimbledon,0,0,0,0,10,10,3,2,11,3,17,16,3,3,0,0,2.4,3.2,2.6,,,,,,,,E1,2002-03
2002-08-13,Reading,Sheffield Weds,2,1,0,1,7,14,2,6,1,10,8,17,1,3,0,1,2.1,3.25,3.0,,,,,,,,E1,2002-03
2002-08-13,Rotherham,Norwich,1,1,0,0,14,5,5,3,5,3,13,9,1,0,0,0,2.4,3.2,2.6,,,,,,,,E1,2002-03
2002-08-13,Sheffield United,Portsmouth,1,1,1,1,19,9,11,5,8,2,12,14,1,3,0,0,2.375,3.2,2.625,,,,,,,,E1,2002-03
2002-08-13,Watford,Millwall,0,0,0,0,16,15,9,9,7,5,24,17,1,5,0,1,2.25,3.25,2.75,,,,,,,,E1,2002-03
2002-08-14,Nott'm Forest,Preston,2,2,0,1,10,7,4,3,10,10,15,18,2,2,0,0,2.25,3.25,2.75,,,,,,,,E1,2002-03
2002-08-14,Stoke,Leicester,0,1,0,1,7,5,2,2,4,4,4,14,0,1,0,0,2.6,3.2,2.4,,,,,,,,E1,2002-03
2002-08-14,Wolves,Walsall,3,1,1,0,9,4,6,1,7,3,6,13,1,1,0,0,1.444,3.75,6.5,,,,,,,,E1,2002-03
2002-08-17,Brighton,Norwich,0,2,0,0,11,10,0,3,8,4,7,11,1,0,0,0,2.25,3.25,2.75,,,,,,,,E1,2002-03
2002-08-17,Crystal Palace,Portsmouth,2,3,2,0,9,12,2,7,3,3,9,13,0,2,0,0,2.25,3.25,2.75,,,,,,,,E1,2002-03
2002-08-17,Gillingham,Millwall,1,0,0,0,14,7,8,4,12,6,10,16,2,2,0,0,2.2,3.25,2.8,,,,,,,,E1,2002-03
2002-08-17,Grimsby,Derby,1,2,1,1,9,8,4,2,12,1,7,17,3,3,0,0,3.75,3.25,1.833,,,,,,,,E1,2002-03
2002-08-17,Nott'm Forest,Sheffield Weds,4,0,1,0,12,18,6,15,6,9,15,17,1,4,0,1,2.0,3.25,3.25,,,,,,,,E1,2002-03
2002-08-17,Reading,Coventry,1,2,1,0,10,18,4,9,8,3,11,6,1,3,0,0,2.375,3.2,2.625,,,,,,,,E1,2002-03
2002-08-17,Rotherham,Preston,0,0,0,0,5,10,3,5,7,6,11,10,1,1,0,0,2.5,3.2,2.5,,,,,,,,E1,2002-03
2002-08-17,Sheffield United,Walsall,1,1,1,1,10,6,6,2,6,2,9,12,1,1,0,0,1.667,3.4,4.5,,,,,,,,E1,2002-03
2002-08-17,Stoke,Bradford,2,1,2,0,8,11,4,6,6,9,13,12,3,3,0,0,2.1,3.25,3.0,,,,,,,,E1,2002-03
