date,home_team,away_team,home_goals,away_goals,ht_home_goals,ht_away_goals,home_shots,away_shots,home_sot,away_sot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,odds_home,odds_draw,odds_away,odds_btts_yes,odds_btts_no,odds_over25,odds_under25,odds_ah_line,odds_ah_home,odds_ah_away,league,season
2014-08-08,Zwolle,Utrecht,2,0,0,0,,,,,,,,,,,,,1.95,3.6,3.6,,,,,,,,N1,2014-15
2014-08-09,Cambuur,Twente,1,1,1,0,,,,,,,,,,,,,4.2,3.75,1.8,,,,,,,,N1,2014-15
2014-08-09,Heerenveen,Dordrecht,1,2,1,1,,,,,,,,,,,,,1.44,4.5,6.5,,,,,,,,N1,2014-15
2014-08-09,Heracles,AZ Alkmaar,0,3,0,0,,,,,,,,,,,,,2.5,3.4,2.7,,,,,,,,N1,2014-15
2014-08-09,NAC Breda,Excelsior,1,1,1,1,,,,,,,,,,,,,2.1,3.5,3.25,,,,,,,,N1,2014-15
2014-08-10,Ajax,Vitesse,4,1,1,0,,,,,,,,,,,,,1.5,4.33,6.0,,,,,,,,N1,2014-15
2014-08-10,Den Haag,Feyenoord,0,1,0,0,,,,,,,,,,,,,4.2,4.0,1.75,,,,,,,,N1,2014-15
2014-08-10,Go Ahead Eagles,Groningen,2,3,1,0,,,,,,,,,,,,,2.63,3.4,2.6,,,,,,,,N1,2014-15
2014-08-10,Willem II,PSV Eindhoven,1,3,1,2,,,,,,,,,,,,,5.0,4.33,1.57,,,,,,,,N1,2014-15
2014-08-15,Feyenoord,Heerenveen,1,1,0,0,,,,,,,,,,,,,1.45,4.5,6.5,,,,,,,,N1,2014-15
2014-08-16,Dordrecht,Zwolle,1,2,0,1,,,,,,,,,,,,,2.5,3.6,2.6,,,,,,,,N1,2014-15
2014-08-16,PSV Eindhoven,NAC Breda,6,1,2,1,,,,,,,,,,,,,1.18,7.0,13.0,,,,,,,,N1,2014-15
2014-08-16,Twente,Den Haag,2,2,1,0,,,,,,,,,,,,,1.33,5.0,8.5,,,,,,,,N1,2014-15
2014-08-16,Vitesse,Cambuur,2,2,2,1,,,,,,,,,,,,,1.53,4.33,5.5,,,,,,,,N1,2014-15
2014-08-17,AZ Alkmaar,Ajax,1,3,0,1,,,,,,,,,,,,,3.1,3.4,2.25,,,,,,,,N1,2014-15
2014-08-17,Excelsior,Go Ahead Eagles,3,2,1,0,,,,,,,,,,,,,2.2,3.5,3.1,,,,,,,,N1,2014-15
2014-08-17,Groningen,Heracles,3,1,2,0,,,,,,,,,,,,,1.67,4.2,4.5,,,,,,,,N1,2014-15
2014-08-17,Utrecht,Willem II,2,1,0,0,,,,,,,,,,,,,1.85,3.8,3.8,,,,,,,,N1,2014-15
2014-08-22,Heracles,Cambuur,0,1,0,0,,,,,,,,,,,,,2.25,3.5,3.0,,,,,,,,N1,2014-15
2014-08-23,Go Ahead Eagles,Dordrecht,0,0,0,0,,,,,,,,,,,,,1.85,3.8,3.8,,,,,,,,N1,2014-15
2014-08-23,Heerenveen,Excelsior,2,0,0,0,,,,,,,,,,,,,1.5,4.5,5.75,,,,,,,,N1,2014-15
2014-08-23,Willem II,AZ Alkmaar,3,0,2,0,,,,,,,,,,,,,2.7,3.4,2.5,,,,,,,,N1,2014-15
2014-08-24,Ajax,PSV Eindhoven,1,3,1,0,,,,,,,,,,,,,1.91,3.75,3.6,,,,,,,,N1,2014-15
2014-08-24,Den Haag,Groningen,3,0,0,0,,,,,,,,,,,,,2.4,3.4,2.8,,,,,,,,N1,2014-15
2014-08-24,Feyenoord,Utrecht,1,2,1,1,,,,,,,,,,,,,1.4,4.75,7.0,,,,,,,,N1,2014-15
2014-08-24,NAC Breda,Twente,1,1,0,1,,,,,,,,,,,,,3.8,3.8,1.85,,,,,,,,N1,2014-15
2014-08-24,Zwolle,Vitesse,2,1,0,1,,,,,,,,,,,,,2.8,3.5,2.38,,,,,,,,N1,2014-15
2014-08-29,Go Ahead Eagles,Willem II,1,0,0,0,,,,,,,,,,,,,2.25,3.5,3.0,,,,,,,,N1,2014-15
2014-08-30,Cambuur,Den Haag,3,2,1,0,,,,,,,,,,,,,2.05,3.5,3.4,,,,,,,,N1,2014-15
