date,home_team,away_team,home_goals,away_goals,ht_home_goals,ht_away_goals,home_shots,away_shots,home_sot,away_sot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,odds_home,odds_draw,odds_away,odds_btts_yes,odds_btts_no,odds_over25,odds_under25,odds_ah_line,odds_ah_home,odds_ah_away,league,season
2022-08-05,Benfica,Arouca,4,0,3,0,20,3,6,2,6,1,7,6,3,1,0,1,1.14,6.5,17.0,,,1.47,2.6,-2.0,1.84,2.06,P1,2022-23
2022-08-06,Rio Ave,Vizela,0,1,0,0,7,12,0,7,6,7,19,16,7,4,0,0,2.2,3.2,3.1,,,2.07,1.72,-0.25,1.95,1.95,P1,2022-23
2022-08-06,Estoril,Famalicao,2,0,2,0,10,15,5,5,1,2,13,11,4,1,0,0,2.5,3.0,2.8,,,2.07,1.72,0.0,1.89,2.01,P1,2022-23
2022-08-06,Porto,Maritimo,5,1,3,0,22,9,7,3,4,4,13,11,3,2,0,0,1.16,7.0,10.0,,,1.53,2.4,-2.0,2.0,1.9,P1,2022-23
2022-08-07,Santa Clara,Casa Pia,0,0,0,0,7,11,3,3,7,6,15,12,1,3,1,0,1.95,3.0,4.0,,,2.15,1.66,-0.5,2.06,1.84,P1,2022-23
2022-08-07,Sp Braga,Sp Lisbon,3,3,2,2,15,11,7,4,3,3,14,17,2,2,0,0,3.75,3.25,1.9,,,1.98,1.88,0.5,1.85,2.05,P1,2022-23
2022-08-07,Chaves,Guimaraes,0,1,0,1,14,15,2,6,2,5,10,20,2,9,0,2,2.7,3.2,2.5,,,2.1,1.7,0.0,2.04,1.86,P1,2022-23
2022-08-07,Portimonense,Boavista,0,1,0,1,18,10,8,5,7,1,13,11,3,1,0,0,2.0,3.3,3.5,,,2.3,1.6,-0.25,1.75,2.05,P1,2022-23
2022-08-08,Gil Vicente,Pacos Ferreira,1,0,0,0,16,12,7,5,8,6,17,19,1,6,0,0,1.72,3.4,4.5,,,2.05,1.75,-0.75,1.99,1.91,P1,2022-23
2022-08-12,Famalicao,Sp Braga,0,3,0,2,11,24,5,9,7,7,11,14,3,1,0,0,3.6,3.4,2.0,,,1.88,1.98,0.5,1.87,2.03,P1,2022-23
2022-08-13,Casa Pia,Benfica,0,1,0,0,8,14,2,4,4,9,10,9,6,4,0,1,12.0,5.5,1.25,,,1.65,2.2,1.75,1.93,1.97,P1,2022-23
2022-08-13,Sp Lisbon,Rio Ave,3,0,1,0,20,3,6,1,7,1,15,6,1,2,0,0,1.22,6.0,11.0,,,1.7,2.1,-1.75,1.97,1.93,P1,2022-23
2022-08-14,Boavista,Santa Clara,2,1,0,1,16,3,5,1,8,6,13,8,3,7,0,2,2.45,3.1,2.9,,,2.35,1.57,-0.25,2.08,1.73,P1,2022-23
2022-08-14,Vizela,Porto,0,1,0,0,4,13,1,4,1,10,18,13,6,2,0,0,10.0,5.25,1.28,,,1.66,2.15,1.5,2.0,1.9,P1,2022-23
2022-08-14,Guimaraes,Estoril,1,0,1,0,8,7,3,4,5,7,13,8,3,5,0,1,1.95,3.4,3.8,,,2.1,1.7,-0.5,2.04,1.86,P1,2022-23
2022-08-15,Maritimo,Chaves,1,2,1,0,13,21,6,8,3,6,12,11,1,1,0,0,2.25,3.3,3.2,,,2.1,1.7,-0.25,2.0,1.9,P1,2022-23
2022-08-15,Arouca,Gil Vicente,1,0,1,0,8,10,4,2,4,4,22,18,4,2,0,0,2.62,3.4,2.6,,,2.02,1.83,0.0,1.97,1.93,P1,2022-23
2022-08-15,Pacos Ferreira,Portimonense,0,3,0,1,14,13,4,3,2,7,12,16,3,5,1,0,2.25,3.25,3.2,,,2.15,1.66,-0.25,2.03,1.87,P1,2022-23
2022-08-19,Estoril,Rio Ave,2,2,1,0,9,17,4,7,1,5,22,13,4,3,0,1,2.1,3.25,3.75,,,2.25,1.61,-0.25,1.83,2.07,P1,2022-23
2022-08-20,Santa Clara,Arouca,1,2,0,0,12,10,3,4,4,2,19,21,2,3,0,0,2.05,3.25,3.75,,,2.25,1.61,-0.25,1.83,2.07,P1,2022-23
2022-08-20,Chaves,Vizela,1,1,1,1,18,17,3,4,5,4,8,19,5,5,1,1,2.25,3.3,3.25,,,2.15,1.66,-0.25,1.96,1.94,P1,2022-23
2022-08-20,Porto,Sp Lisbon,3,0,1,0,11,8,5,4,3,4,23,11,1,4,0,1,2.1,3.3,3.5,,,1.98,1.88,-0.25,1.84,2.06,P1,2022-23
2022-08-21,Casa Pia,Boavista,2,0,0,0,6,11,4,4,2,2,11,13,1,3,0,0,2.45,3.1,3.0,,,2.5,1.5,-0.25,2.11,1.79,P1,2022-23
2022-08-21,Sp Braga,Maritimo,5,0,2,0,20,7,9,1,5,5,16,7,3,1,0,0,1.36,4.5,9.0,,,1.7,2.1,-1.25,1.89,2.01,P1,2022-23
2022-08-21,Portimonense,Guimaraes,2,1,0,0,15,17,5,6,6,11,18,15,4,2,0,0,2.62,3.3,2.55,,,2.15,1.66,0.0,1.98,1.92,P1,2022-23
2022-08-22,Gil Vicente,Famalicao,0,0,0,0,15,10,5,2,8,4,12,13,1,5,0,0,2.2,3.5,3.2,,,1.98,1.88,-0.25,1.96,1.94,P1,2022-23
2022-08-26,Pacos Ferreira,Estoril,0,3,0,2,10,11,4,7,4,5,13,21,3,0,2,0,2.62,3.2,2.8,,,2.2,1.65,0.0,1.88,2.02,P1,2022-23
2022-08-27,Maritimo,Portimonense,0,1,0,1,19,9,4,6,8,7,12,16,2,1,0,0,2.75,3.2,2.6,,,2.07,1.72,0.0,2.01,1.89,P1,2022-23
2022-08-27,Boavista,Benfica,0,3,0,1,4,16,0,6,7,8,12,15,4,2,0,0,8.5,4.75,1.36,,,1.72,2.07,1.25,2.05,1.85,P1,2022-23
2022-08-27,Sp Lisbon,Chaves,0,2,0,0,22,8,10,5,13,3,19,16,5,2,0,1,1.18,7.0,19.0,,,1.53,2.4,-2.0,2.03,1.87,P1,2022-23
2022-08-28,Famalicao,Santa Clara,1,0,1,0,12,13,4,2,6,4,22,11,3,3,0,0,2.15,3.4,3.3,,,2.05,1.75,-0.25,1.89,2.01,P1,2022-23
2022-08-28,Arouca,Sp Braga,0,6,0,4,12,15,4,10,5,4,18,13,3,3,0,0,5.0,3.75,1.66,,,1.72,2.07,0.75,2.01,1.89,P1,2022-23
2022-08-28,Rio Ave,Porto,3,1,3,0,6,27,4,10,2,7,11,8,1,2,0,0,10.0,5.5,1.3,,,1.65,2.2,1.5,2.01,1.89,P1,2022-23
2022-08-29,Guimaraes,Casa Pia,0,1,0,1,15,8,2,2,9,1,15,16,3,3,0,0,1.95,3.4,4.0,,,2.1,1.7,-0.5,2.03,1.87,P1,2022-23
2022-08-29,Vizela,Gil Vicente,2,2,2,2,18,12,9,4,5,10,9,15,2,5,0,0,2.3,3.3,3.0,,,2.05,1.75,-0.25,2.08,1.82,P1,2022-23
2022-08-30,Benfica,Pacos Ferreira,3,2,2,1,27,3,6,2,13,3,13,13,2,4,0,0,1.06,11.0,29.0,,,1.33,3.4,-2.75,1.99,1.91,P1,2022-23
2022-09-02,Benfica,Vizela,2,1,0,1,28,7,6,2,15,4,9,10,7,4,2,0,1.2,7.0,15.0,,,1.4,2.87,-2.0,1.86,2.04,P1,2022-23
2022-09-02,Estoril,Sp Lisbon,0,2,0,2,5,18,0,4,2,7,16,18,5,7,0,0,6.5,4.33,1.45,,,1.7,2.1,1.25,1.84,2.06,P1,2022-23
2022-09-03,Sp Braga,Guimaraes,1,0,0,0,18,7,2,3,5,0,16,21,2,7,0,0,1.36,4.75,8.0,,,1.65,2.2,-1.25,1.84,2.06,P1,2022-23
2022-09-03,Gil Vicente,Porto,0,2,0,2,6,16,2,4,6,4,15,9,1,0,0,0,7.0,4.33,1.44,,,1.7,2.1,1.25,1.92,1.98,P1,2022-23
