date,home_team,away_team,home_goals,away_goals,ht_home_goals,ht_away_goals,home_shots,away_shots,home_sot,away_sot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,odds_home,odds_draw,odds_away,odds_btts_yes,odds_btts_no,odds_over25,odds_under25,odds_ah_line,odds_ah_home,odds_ah_away,league,season
2022-07-30,Livingston,Rangers,1,2,1,0,5,21,2,6,0,8,17,15,3,4,0,0,8.0,5.0,1.36,,,1.8,2.05,1.25,1.93,1.93,SC0,2022-23
2022-07-30,Hearts,Ross County,2,1,0,0,15,12,4,3,4,2,6,15,1,2,0,0,1.55,4.0,6.0,,,1.88,1.98,-1.0,1.98,1.88,SC0,2022-23
2022-07-30,Kilmarnock,Dundee United,1,1,0,1,18,7,5,5,4,4,11,11,2,0,0,1,2.4,3.3,3.0,,,2.3,1.61,-0.25,2.1,1.77,SC0,2022-23
2022-07-30,St Johnstone,Hibernian,0,1,0,0,4,14,1,1,3,9,12,15,2,4,1,0,3.2,3.2,2.37,,,2.62,1.5,0.25,1.83,2.02,SC0,2022-23
2022-07-31,St Mirren,Motherwell,0,1,0,1,19,9,6,2,8,2,9,11,4,4,0,1,2.55,3.3,2.8,,,2.2,1.66,0.0,1.85,2.0,SC0,2022-23
2022-07-31,Celtic,Aberdeen,2,0,1,0,21,5,9,3,9,3,11,12,1,2,0,0,1.25,6.0,11.0,,,1.57,2.37,-1.75,1.98,1.88,SC0,2022-23
2022-08-06,Aberdeen,St Mirren,4,1,3,0,23,6,10,1,4,4,12,15,1,2,0,1,1.95,3.3,4.0,,,2.2,1.66,-0.5,1.98,1.88,SC0,2022-23
2022-08-06,Motherwell,St Johnstone,1,2,0,1,12,10,2,3,4,6,17,9,1,3,0,0,2.2,3.1,3.6,,,2.5,1.53,-0.25,1.88,1.98,SC0,2022-23
2022-08-06,Rangers,Kilmarnock,2,0,0,0,18,4,4,0,8,3,13,17,0,6,0,0,1.22,7.0,11.0,,,1.53,2.5,-1.75,1.83,2.02,SC0,2022-23
2022-08-06,Ross County,Celtic,1,3,0,0,5,23,2,7,3,12,10,4,4,2,0,0,12.0,6.5,1.22,,,1.5,2.62,1.75,2.02,1.83,SC0,2022-23
2022-08-07,Hibernian,Hearts,1,1,0,1,12,12,3,6,7,9,18,13,3,1,0,0,2.8,3.2,2.6,,,2.2,1.66,0.0,2.0,1.85,SC0,2022-23
2022-08-07,Dundee United,Livingston,0,1,0,0,10,11,3,4,9,4,11,14,2,3,0,0,2.4,3.1,3.2,,,2.5,1.53,-0.25,2.0,1.85,SC0,2022-23
2022-08-13,Aberdeen,Motherwell,2,3,1,1,14,19,3,6,5,12,9,10,1,2,0,0,1.8,3.5,4.75,,,2.1,1.72,-0.75,2.05,1.8,SC0,2022-23
2022-08-13,Livingston,Hibernian,2,1,1,0,12,23,6,5,3,14,15,10,1,2,0,0,3.2,3.1,2.37,,,2.5,1.53,0.25,1.83,2.02,SC0,2022-23
2022-08-13,Rangers,St Johnstone,4,0,1,0,24,4,8,1,9,1,9,10,1,2,0,0,1.18,7.0,17.0,,,1.72,2.1,-2.0,2.02,1.83,SC0,2022-23
2022-08-13,St Mirren,Ross County,1,0,0,0,8,5,2,1,6,5,10,10,1,1,0,0,2.4,3.2,3.1,,,2.2,1.66,-0.25,2.02,1.83,SC0,2022-23
2022-08-14,Kilmarnock,Celtic,0,5,0,3,12,20,3,11,2,8,18,11,4,2,0,0,17.0,6.5,1.2,,,1.53,2.5,2.0,1.83,2.02,SC0,2022-23
2022-08-14,Hearts,Dundee United,4,1,1,0,13,10,12,2,3,2,8,11,0,4,0,0,1.6,3.75,6.5,,,2.0,1.85,-1.0,2.05,1.8,SC0,2022-23
2022-08-20,Hibernian,Rangers,2,2,0,1,14,9,5,2,5,3,19,7,4,2,0,2,5.5,4.0,1.6,,,1.85,2.0,1.0,1.77,2.1,SC0,2022-23
2022-08-20,Dundee United,St Mirren,0,3,0,1,13,12,3,5,6,7,10,17,3,2,0,0,2.45,3.0,3.2,,,2.37,1.57,-0.25,2.1,1.77,SC0,2022-23
2022-08-20,Motherwell,Livingston,1,0,0,0,13,5,2,1,2,1,15,16,1,0,0,1,2.37,3.0,3.3,,,2.3,1.61,-0.25,2.02,1.83,SC0,2022-23
2022-08-20,Ross County,Kilmarnock,1,0,0,0,8,14,5,2,1,7,15,16,3,4,1,0,2.37,3.2,3.1,,,2.2,1.66,-0.25,2.0,1.85,SC0,2022-23
2022-08-20,St Johnstone,Aberdeen,0,1,0,0,7,15,1,4,5,5,18,12,5,0,0,0,3.6,3.1,2.2,,,2.5,1.53,0.25,1.98,1.88,SC0,2022-23
2022-08-21,Celtic,Hearts,2,0,1,0,15,4,7,0,4,6,11,12,0,3,0,2,1.2,7.0,13.0,,,1.44,2.75,-2.0,2.02,1.77,SC0,2022-23
2022-08-27,Aberdeen,Livingston,5,0,1,0,20,7,6,3,8,3,2,11,0,4,0,1,1.72,3.6,5.0,,,2.1,1.72,-0.75,2.02,1.83,SC0,2022-23
2022-08-27,Kilmarnock,Motherwell,2,1,0,1,21,10,4,6,8,4,11,20,2,1,0,0,2.62,3.25,2.75,,,2.2,1.66,0.0,1.9,1.95,SC0,2022-23
2022-08-27,Rangers,Ross County,4,0,2,0,31,4,13,0,7,1,10,10,2,2,0,0,1.14,8.5,17.0,,,1.44,2.75,-2.25,2.05,1.8,SC0,2022-23
2022-08-27,St Mirren,Hibernian,1,0,1,0,14,14,2,1,4,10,8,12,1,3,0,0,3.5,3.1,2.25,,,2.3,1.61,0.25,1.88,1.98,SC0,2022-23
2022-08-28,Dundee United,Celtic,0,9,0,4,6,30,2,13,2,11,6,7,1,0,0,0,15.0,8.0,1.16,,,1.44,2.75,2.0,2.02,1.77,SC0,2022-23
2022-08-28,Hearts,St Johnstone,3,2,2,1,27,9,6,5,3,4,9,13,0,4,0,0,1.65,3.75,5.75,,,2.1,1.72,-0.75,1.8,2.05,SC0,2022-23
2022-09-03,Celtic,Rangers,4,0,3,0,15,11,6,2,3,4,12,11,3,3,0,0,1.85,3.75,4.0,,,1.72,2.1,-0.5,1.85,2.0,SC0,2022-23
2022-09-03,Hibernian,Kilmarnock,1,0,1,0,25,7,8,1,7,3,12,10,2,3,0,1,1.7,3.6,5.25,,,2.1,1.72,-0.75,1.9,1.95,SC0,2022-23
2022-09-03,Livingston,Hearts,1,0,1,0,12,6,6,0,3,3,13,13,4,2,0,0,3.4,3.25,2.2,,,2.1,1.72,0.25,1.95,1.9,SC0,2022-23
2022-09-03,Motherwell,Dundee United,0,0,0,0,21,11,5,3,3,6,16,15,2,1,0,0,1.95,3.3,4.2,,,2.1,1.72,-0.5,2.0,1.85,SC0,2022-23
2022-09-03,Ross County,Aberdeen,1,1,0,0,11,11,2,5,3,13,8,5,0,2,0,0,4.0,3.3,2.0,,,2.1,1.72,0.5,1.85,2.0,SC0,2022-23
2022-09-03,St Johnstone,St Mirren,3,0,1,0,9,10,4,2,1,9,4,15,2,5,0,0,2.5,3.1,3.0,,,2.5,1.53,-0.25,2.1,1.7,SC0,2022-23
2022-09-17,Hibernian,Aberdeen,3,1,1,1,25,5,8,1,10,2,19,14,2,4,0,1,2.25,3.25,3.4,,,2.2,1.66,-0.25,2.0,1.85,SC0,2022-23
2022-09-17,Livingston,Kilmarnock,1,0,1,0,9,3,1,1,5,4,14,12,1,2,0,0,2.0,3.3,4.0,,,2.2,1.66,-0.5,2.0,1.85,SC0,2022-23
2022-09-17,Rangers,Dundee United,2,1,1,0,17,10,6,5,7,4,10,8,3,2,0,0,1.11,9.0,21.0,,,1.44,2.75,-2.25,1.85,2.0,SC0,2022-23
2022-09-17,St Johnstone,Ross County,0,0,0,0,15,9,1,1,5,3,9,12,4,2,0,0,2.37,3.2,3.2,,,2.3,1.61,-0.25,2.02,1.83,SC0,2022-23
2022-09-18,St Mirren,Celtic,2,0,1,0,4,18,2,4,6,7,15,11,3,2,0,0,17.0,7.5,1.16,,,1.5,2.62,2.0,1.98,1.88,SC0,2022-23
2022-09-18,Motherwell,Hearts,0,3,0,1,25,10,5,6,6,2,12,13,3,2,0,0,2.75,3.5,2.5,,,2.0,1.85,0.0,2.02,1.83,SC0,2022-23
2022-10-01,Hearts,Rangers,0,4,0,2,7,20,1,7,5,7,11,12,1,2,1,0,5.0,4.0,1.7,,,1.66,2.2,0.75,2.0,1.85,SC0,2022-23
2022-10-01,Aberdeen,Kilmarnock,4,1,3,1,16,7,8,3,5,5,12,11,1,2,0,0,1.66,3.6,5.75,,,2.0,1.8,-0.75,1.88,1.98,SC0,2022-23
2022-10-01,Celtic,Motherwell,2,1,1,1,17,7,6,2,7,4,10,9,1,4,1,0,1.11,10.0,17.0,,,1.33,3.4,-2.5,1.95,1.9,SC0,2022-23
2022-10-01,Dundee United,St Johnstone,1,2,0,2,19,12,6,3,9,0,11,11,5,3,0,0,2.4,3.2,3.1,,,2.37,1.57,-0.25,2.08,1.73,SC0,2022-23
2022-10-01,Ross County,Hibernian,0,2,0,0,9,24,2,9,6,11,13,14,1,0,0,0,3.75,3.3,2.05,,,2.1,1.72,0.25,2.05,1.8,SC0,2022-23
2022-10-01,St Mirren,Livingston,2,1,0,0,8,10,3,3,6,7,16,11,3,1,1,0,2.3,3.2,3.3,,,2.3,1.61,-0.25,2.02,1.83,SC0,2022-23
2022-10-04,Ross County,Motherwell,0,5,0,1,9,11,1,6,4,3,16,13,3,2,0,0,2.87,3.3,2.45,,,2.1,1.72,0.25,1.77,2.1,SC0,2022-23
2022-10-05,Kilmarnock,St Johnstone,2,1,1,0,11,15,2,5,5,5,16,16,0,3,0,0,2.3,3.2,3.3,,,2.37,1.57,-0.25,2.0,1.85,SC0,2022-23
2022-10-08,St Johnstone,Celtic,1,2,0,1,8,11,3,4,2,8,14,10,3,3,0,0,13.0,7.0,1.2,,,1.5,2.62,2.0,1.85,2.0,SC0,2022-23
2022-10-08,Hibernian,Motherwell,1,0,0,0,14,9,5,1,3,7,16,10,2,4,0,1,1.75,3.6,4.75,,,2.1,1.72,-0.75,2.05,1.8,SC0,2022-23
2022-10-08,Livingston,Ross County,0,1,0,0,22,5,3,1,9,2,10,18,0,3,0,0,1.9,3.4,4.2,,,2.2,1.66,-0.5,1.93,1.93,SC0,2022-23
2022-10-08,Rangers,St Mirren,4,0,2,0,19,9,8,3,8,5,10,10,0,2,0,0,1.2,6.0,15.0,,,1.57,2.37,-1.75,1.83,2.02,SC0,2022-23
2022-10-08,Dundee United,Aberdeen,4,0,2,0,14,14,8,1,5,1,9,13,2,1,0,0,3.6,3.3,2.05,,,2.1,1.72,0.25,2.1,1.77,SC0,2022-23
2022-10-09,Kilmarnock,Hearts,2,2,0,0,14,11,6,5,6,3,21,13,2,1,0,0,3.25,3.4,2.2,,,1.95,1.9,0.25,1.98,1.88,SC0,2022-23
2022-10-11,Dundee United,Hibernian,1,0,1,0,9,18,1,7,5,10,11,13,5,2,0,0,4.0,3.6,1.9,,,1.98,1.88,0.5,1.93,1.93,SC0,2022-23
2022-10-15,Celtic,Hibernian,6,1,3,0,20,9,9,5,7,2,17,7,1,0,0,0,1.25,6.0,13.0,,,1.53,2.5,-1.75,1.88,1.98,SC0,2022-23
2022-10-15,Livingston,St Johnstone,1,0,1,0,14,10,4,3,8,2,20,18,3,3,0,0,2.0,3.25,4.2,,,2.5,1.53,-0.5,2.0,1.85,SC0,2022-23
2022-10-15,Ross County,Dundee United,1,1,1,0,6,14,1,3,4,10,12,11,1,0,0,0,2.37,3.25,3.1,,,2.2,1.66,-0.25,2.1,1.77,SC0,2022-23
2022-10-15,St Mirren,Kilmarnock,0,0,0,0,14,14,3,4,6,8,20,12,3,2,0,0,2.05,3.25,3.8,,,2.2,1.66,-0.5,2.05,1.8,SC0,2022-23
2022-10-16,Motherwell,Rangers,1,2,0,0,5,7,2,4,3,3,15,18,3,4,0,0,8.5,4.75,1.4,,,1.66,2.2,1.25,2.02,1.83,SC0,2022-23
2022-10-16,Aberdeen,Hearts,2,0,0,0,16,13,5,3,4,1,11,16,3,3,0,0,2.3,3.3,3.2,,,1.85,2.0,-0.25,2.0,1.85,SC0,2022-23
2022-10-21,Hibernian,St Johnstone,1,2,1,0,15,7,5,5,1,1,17,10,4,1,1,0,1.65,3.8,5.75,,,1.98,1.88,-0.75,1.8,2.05,SC0,2022-23
2022-10-22,Hearts,Celtic,3,4,1,1,15,11,7,6,3,6,9,15,2,1,0,0,9.5,5.5,1.3,,,1.5,2.62,1.5,1.9,1.95,SC0,2022-23
2022-10-22,Kilmarnock,Ross County,1,0,1,0,11,10,6,4,5,7,9,9,2,2,0,0,2.0,3.25,4.2,,,2.2,1.66,-0.5,2.0,1.85,SC0,2022-23
2022-10-22,Motherwell,Aberdeen,1,2,0,1,12,7,4,3,4,0,14,8,3,2,0,0,2.75,3.25,2.62,,,2.0,1.8,0.0,2.02,1.83,SC0,2022-23
2022-10-22,Rangers,Livingston,1,1,0,1,24,5,3,1,14,1,9,12,2,2,0,1,1.16,8.0,15.0,,,1.57,2.37,-2.0,2.0,1.85,SC0,2022-23
2022-10-22,St Mirren,Dundee United,2,1,1,0,15,10,2,3,6,6,19,5,1,1,0,0,2.05,3.2,3.8,,,2.2,1.66,-0.5,2.05,1.75,SC0,2022-23
2022-10-29,Dundee United,Motherwell,0,1,0,1,10,9,3,2,10,5,13,14,0,1,1,0,2.62,3.2,2.8,,,2.1,1.72,0.0,1.88,1.98,SC0,2022-23
2022-10-29,Hibernian,St Mirren,3,0,1,0,16,11,4,3,6,6,12,16,2,3,0,0,1.72,3.6,5.0,,,2.1,1.72,-0.75,1.98,1.88,SC0,2022-23
2022-10-29,Rangers,Aberdeen,4,1,2,1,36,5,13,1,13,4,9,12,0,3,0,0,1.36,5.5,7.0,,,1.61,2.3,-1.5,2.05,1.8,SC0,2022-23
2022-10-29,St Johnstone,Kilmarnock,1,0,1,0,8,7,2,2,3,6,15,10,5,1,0,0,2.45,3.0,3.2,,,2.5,1.53,-0.25,2.1,1.77,SC0,2022-23
2022-10-30,Livingston,Celtic,0,3,0,1,4,16,2,6,0,4,15,15,2,3,0,0,11.0,6.0,1.25,,,1.61,2.3,1.5,2.0,1.85,SC0,2022-23
2022-10-30,Ross County,Hearts,1,2,1,2,15,12,7,3,6,1,11,4,3,2,0,0,4.0,3.5,1.95,,,2.02,1.83,0.5,1.88,1.98,SC0,2022-23
2022-11-04,Aberdeen,Hibernian,4,1,1,0,7,17,6,6,5,4,10,7,2,2,0,0,2.62,3.3,2.62,,,2.1,1.72,0.0,1.93,1.93,SC0,2022-23
2022-11-04,Kilmarnock,Livingston,2,3,2,1,13,10,4,4,5,4,13,12,3,3,0,0,2.7,2.9,3.0,,,2.5,1.53,0.0,1.83,2.02,SC0,2022-23
2022-11-05,Celtic,Dundee United,4,2,2,1,24,6,12,3,11,2,9,9,3,2,0,0,1.1,10.0,23.0,,,1.28,3.75,-2.5,1.83,2.02,SC0,2022-23
2022-11-05,Ross County,St Mirren,3,2,1,2,10,11,4,4,7,5,9,13,2,3,0,0,3.1,3.2,2.45,,,2.2,1.66,0.25,1.77,2.1,SC0,2022-23
2022-11-06,St Johnstone,Rangers,2,1,1,0,11,29,3,7,0,20,7,13,2,0,0,0,10.0,5.5,1.3,,,1.72,2.1,1.5,1.93,1.93,SC0,2022-23
2022-11-06,Hearts,Motherwell,3,2,1,0,15,18,7,5,6,11,8,15,2,3,1,0,1.95,3.6,3.8,,,1.8,2.0,-0.5,1.93,1.93,SC0,2022-23
2022-11-08,Hibernian,Ross County,0,2,0,1,21,6,4,3,4,3,10,19,1,3,0,0,1.53,4.2,6.0,,,1.95,1.9,-1.0,1.93,1.93,SC0,2022-23
2022-11-08,Livingston,Aberdeen,2,1,2,0,8,24,3,10,7,8,11,9,4,3,0,0,2.75,3.25,2.62,,,2.2,1.66,0.0,1.98,1.88,SC0,2022-23
2022-11-09,Dundee United,Kilmarnock,4,0,3,0,7,16,6,0,3,4,13,7,0,1,0,0,2.45,3.25,3.0,,,2.2,1.66,-0.25,2.1,1.77,SC0,2022-23
2022-11-09,Motherwell,Celtic,1,2,0,1,7,16,2,3,5,10,7,11,2,1,0,0,11.0,5.75,1.28,,,1.53,2.5,1.5,2.05,1.8,SC0,2022-23
2022-11-09,Rangers,Hearts,1,0,0,0,17,7,6,0,7,5,9,7,3,1,0,0,1.25,6.5,9.5,,,1.5,2.62,-1.75,1.88,1.98,SC0,2022-23
2022-11-09,St Mirren,St Johnstone,2,2,1,1,11,8,4,2,6,3,9,7,4,3,0,1,2.0,3.3,4.0,,,2.3,1.61,-0.5,2.02,1.83,SC0,2022-23
2022-11-12,St Mirren,Rangers,1,1,0,0,10,14,3,4,6,5,13,11,2,1,0,0,7.5,4.75,1.4,,,1.72,2.1,1.25,1.95,1.9,SC0,2022-23
2022-11-12,Celtic,Ross County,2,1,0,0,22,2,7,2,9,0,14,5,1,4,0,0,1.1,12.0,19.0,,,1.33,3.4,-2.5,1.85,2.0,SC0,2022-23
2022-11-12,Hearts,Livingston,1,1,0,0,15,18,6,7,11,6,9,10,1,1,1,0,1.95,3.4,4.0,,,2.0,1.85,-0.5,1.98,1.88,SC0,2022-23
2022-11-12,Kilmarnock,Hibernian,1,0,0,0,6,15,1,1,0,5,12,13,2,3,0,0,3.25,3.3,2.3,,,2.1,1.72,0.25,1.88,1.98,SC0,2022-23
2022-11-12,St Johnstone,Motherwell,1,1,1,1,10,12,3,3,8,4,11,20,2,4,0,0,2.55,3.2,2.9,,,2.2,1.66,0.0,1.83,2.02,SC0,2022-23
2022-11-12,Aberdeen,Dundee United,1,0,1,0,9,6,2,2,3,3,11,12,1,0,0,0,1.72,3.6,5.0,,,2.0,1.85,-0.75,1.98,1.88,SC0,2022-23
2022-12-15,Rangers,Hibernian,3,2,1,2,22,8,9,5,8,4,10,10,1,3,0,0,1.3,5.25,9.0,,,1.57,2.38,-1.5,1.93,1.93,SC0,2022-23
2022-12-17,Aberdeen,Celtic,0,1,0,0,2,33,0,10,0,7,8,8,1,0,0,0,7.0,5.0,1.4,,,1.5,2.63,1.25,2.0,1.85,SC0,2022-23
2022-12-17,Hearts,Kilmarnock,3,1,2,0,13,14,5,5,7,2,17,17,1,1,0,0,1.8,3.6,4.75,,,1.98,1.88,-0.75,2.05,1.8,SC0,2022-23
2022-12-17,Ross County,St Johnstone,1,2,1,0,3,21,1,7,0,6,9,8,1,1,1,0,2.7,3.2,2.7,,,2.38,1.57,0.0,1.9,1.95,SC0,2022-23
2022-12-20,Aberdeen,Rangers,2,3,1,1,8,14,2,8,3,5,8,13,5,5,0,0,6.0,4.2,1.53,,,1.73,2.1,1.0,1.95,1.9,SC0,2022-23
2022-12-21,Celtic,Livingston,2,1,2,1,23,3,10,2,10,1,10,8,2,3,0,0,1.11,10.0,21.0,,,1.36,3.2,-2.5,1.95,1.9,SC0,2022-23
2022-12-23,Ross County,Rangers,0,1,0,1,6,17,1,6,0,4,17,6,2,1,0,0,10.0,6.5,1.25,,,1.5,2.63,1.75,1.85,2.0,SC0,2022-23
2022-12-23,Motherwell,Kilmarnock,2,2,1,0,15,3,4,2,13,1,15,12,2,0,0,1,1.95,3.5,3.8,,,2.1,1.73,-0.5,1.98,1.88,SC0,2022-23
2022-12-24,Celtic,St Johnstone,4,1,3,0,20,7,10,3,9,1,12,4,2,1,1,0,1.13,9.0,21.0,,,1.4,3.0,-2.5,2.02,1.77,SC0,2022-23
2022-12-24,St Mirren,Aberdeen,3,1,1,1,16,11,4,5,8,5,16,8,4,1,0,1,2.75,3.25,2.63,,,2.1,1.73,0.0,1.93,1.93,SC0,2022-23
2022-12-24,Dundee United,Hearts,2,2,1,1,11,14,6,3,6,9,15,8,4,2,0,0,3.0,3.5,2.3,,,1.85,2.0,0.25,1.83,2.02,SC0,2022-23
2022-12-24,Hibernian,Livingston,4,0,3,0,27,8,11,3,9,1,13,14,2,4,0,1,1.8,3.6,4.5,,,2.1,1.73,-0.5,1.83,2.02,SC0,2022-23
2022-12-28,Dundee United,Ross County,3,0,1,0,11,8,6,0,3,2,12,10,2,0,0,1,1.95,3.5,4.0,,,2.1,1.73,-0.5,1.95,1.9,SC0,2022-23
2022-12-28,Kilmarnock,Aberdeen,2,1,2,0,17,9,4,2,2,6,12,11,2,2,0,0,3.0,3.5,2.3,,,2.1,1.73,0.25,1.8,2.05,SC0,2022-23
2022-12-28,Livingston,St Mirren,1,1,0,0,8,16,3,4,4,5,8,17,1,2,1,1,2.38,3.4,3.0,,,2.2,1.67,-0.25,2.1,1.77,SC0,2022-23
2022-12-28,Rangers,Motherwell,3,0,2,0,19,6,10,2,7,7,8,14,2,3,0,0,1.22,6.5,13.0,,,1.53,2.5,-1.75,1.88,1.98,SC0,2022-23
2022-12-28,St Johnstone,Hearts,2,3,0,2,15,16,3,3,4,11,14,7,4,1,0,0,3.0,3.4,2.3,,,2.02,1.83,0.25,1.83,2.02,SC0,2022-23
2022-12-28,Hibernian,Celtic,0,4,0,2,6,20,1,7,5,14,9,7,0,0,0,0,7.0,5.0,1.4,,,1.53,2.5,1.25,2.0,1.85,SC0,2022-23
2023-01-02,Rangers,Celtic,2,2,0,1,15,8,5,2,5,4,11,13,1,1,0,0,3.2,3.6,2.15,,,1.67,2.2,0.25,2.0,1.85,SC0,2022-23
2023-01-02,Aberdeen,Ross County,0,0,0,0,22,7,6,1,11,1,5,12,0,4,0,0,1.65,3.75,5.5,,,1.95,1.9,-0.75,1.8,2.05,SC0,2022-23
2023-01-02,Hearts,Hibernian,3,0,2,0,9,14,5,4,3,4,10,14,2,3,0,0,2.15,3.5,3.3,,,1.73,2.1,-0.25,1.83,2.02,SC0,2022-23
2023-01-02,Kilmarnock,St Mirren,0,0,0,0,12,6,3,0,6,4,8,11,2,3,0,1,2.63,3.4,2.63,,,2.2,1.67,0.0,1.93,1.93,SC0,2022-23
2023-01-02,Livingston,Motherwell,1,1,1,1,11,16,6,5,5,4,8,15,3,2,0,0,2.63,3.4,2.63,,,2.1,1.73,0.0,1.9,1.95,SC0,2022-23
2023-01-02,St Johnstone,Dundee United,0,1,0,0,8,10,2,2,3,2,13,8,3,1,0,0,2.25,3.3,3.25,,,2.1,1.73,-0.25,1.95,1.9,SC0,2022-23
