date,home_team,away_team,home_goals,away_goals,ht_home_goals,ht_away_goals,home_shots,away_shots,home_sot,away_sot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,odds_home,odds_draw,odds_away,odds_btts_yes,odds_btts_no,odds_over25,odds_under25,odds_ah_line,odds_ah_home,odds_ah_away,league,season
2022-08-05,Istanbulspor,Trabzonspor,0,2,0.0,1.0,3.0,13.0,2.0,5.0,1.0,10.0,13.0,11.0,2.0,2.0,0.0,0.0,4.7,3.75,1.61,,,1.75,2.05,0.75,1.88,1.98,T1,2022-23
2022-08-06,Sivasspor,Gaziantep,1,1,0.0,1.0,9.0,16.0,3.0,6.0,2.0,6.0,11.0,14.0,2.0,3.0,0.0,0.0,1.95,3.5,3.3,,,1.88,1.98,-0.5,2.02,1.83,T1,2022-23
2022-08-06,Besiktas,Kayserispor,1,0,0.0,0.0,20.0,5.0,6.0,1.0,9.0,4.0,22.0,14.0,5.0,2.0,1.0,1.0,1.5,4.33,5.25,,,1.7,2.1,-1.0,1.83,2.02,T1,2022-23
2022-08-07,Giresunspor,Ad. Demirspor,2,3,0.0,2.0,14.0,10.0,5.0,4.0,6.0,1.0,21.0,16.0,3.0,2.0,0.0,0.0,2.87,3.4,2.2,,,1.8,2.0,0.25,1.85,2.0,T1,2022-23
2022-08-07,Karagumruk,Alanyaspor,2,4,0.0,2.0,17.0,10.0,4.0,6.0,10.0,3.0,19.0,19.0,2.0,3.0,0.0,0.0,2.55,3.5,2.4,,,1.75,2.05,0.0,1.98,1.88,T1,2022-23
2022-08-07,Antalyaspor,Galatasaray,0,1,0.0,0.0,12.0,13.0,4.0,4.0,1.0,6.0,17.0,16.0,2.0,4.0,0.0,0.0,2.37,3.6,2.6,,,1.72,2.07,0.0,1.85,2.0,T1,2022-23
2022-08-08,Buyuksehyr,Kasimpasa,4,0,2.0,0.0,15.0,9.0,7.0,3.0,6.0,5.0,14.0,15.0,2.0,3.0,0.0,0.0,1.75,3.6,4.2,,,1.9,1.95,-0.5,1.8,2.05,T1,2022-23
2022-08-08,Ankaragucu,Konyaspor,0,0,0.0,0.0,12.0,10.0,3.0,0.0,6.0,3.0,14.0,6.0,1.0,0.0,0.0,0.0,2.9,3.4,2.15,,,1.9,1.95,0.25,1.9,1.95,T1,2022-23
2022-08-08,Fenerbahce,Umraniyespor,3,3,2.0,1.0,17.0,10.0,6.0,5.0,5.0,5.0,14.0,13.0,7.0,2.0,0.0,0.0,1.33,5.0,7.5,,,1.57,2.35,-1.5,1.98,1.88,T1,2022-23
2022-08-12,Trabzonspor,Hatayspor,1,0,0.0,0.0,21.0,7.0,6.0,3.0,11.0,2.0,18.0,10.0,2.0,3.0,0.0,0.0,1.5,4.5,6.5,,,1.66,2.15,-1.0,1.75,2.05,T1,2022-23
2022-08-13,Kayserispor,Istanbulspor,1,0,1.0,0.0,8.0,13.0,4.0,1.0,4.0,5.0,8.0,10.0,3.0,2.0,0.0,0.0,1.85,3.8,4.0,,,1.66,2.15,-0.5,1.85,2.0,T1,2022-23
2022-08-13,Ad. Demirspor,Sivasspor,3,0,1.0,0.0,27.0,10.0,13.0,1.0,7.0,1.0,12.0,6.0,2.0,0.0,0.0,0.0,1.9,3.6,4.0,,,1.85,2.0,-0.5,1.93,1.93,T1,2022-23
2022-08-13,Galatasaray,Giresunspor,0,1,0.0,0.0,14.0,5.0,2.0,4.0,10.0,3.0,7.0,11.0,3.0,2.0,0.0,0.0,1.44,4.33,8.0,,,1.7,2.1,-1.25,2.0,1.85,T1,2022-23
2022-08-14,Gaziantep,Ankaragucu,1,0,0.0,0.0,20.0,6.0,9.0,0.0,9.0,4.0,12.0,12.0,2.0,3.0,0.0,0.0,1.95,3.6,3.6,,,1.9,1.95,-0.5,1.98,1.88,T1,2022-23
2022-08-14,Umraniyespor,Antalyaspor,0,1,0.0,0.0,14.0,11.0,2.0,2.0,4.0,5.0,15.0,12.0,1.0,2.0,0.0,0.0,3.1,3.3,2.25,,,1.75,2.05,0.25,1.85,2.0,T1,2022-23
