date,home_team,away_team,home_goals,away_goals,ht_home_goals,ht_away_goals,home_shots,away_shots,home_sot,away_sot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,odds_home,odds_draw,odds_away,odds_btts_yes,odds_btts_no,odds_over25,odds_under25,odds_ah_line,odds_ah_home,odds_ah_away,league,season
2016-07-15,Viborg,Nordsjaelland,0,4,,,,,,,,,,,,,,,2.19,3.31,3.27,,,,,,,,DNK,2016
2016-07-15,Odense,Silkeborg,0,0,,,,,,,,,,,,,,,1.86,3.48,4.14,,,,,,,,DNK,2016
2016-07-16,FC Copenhagen,Lyngby,3,0,,,,,,,,,,,,,,,1.36,4.65,8.55,,,,,,,,DNK,2016
2016-07-17,Sonderjyske,Aarhus,1,2,,,,,,,,,,,,,,,2.28,3.27,3.12,,,,,,,,DNK,2016
2016-07-17,Aalborg,Horsens,1,1,,,,,,,,,,,,,,,1.54,4.04,6.03,,,,,,,,DNK,2016
2016-07-17,Brondby,Esbjerg,4,0,,,,,,,,,,,,,,,1.87,3.53,4.02,,,,,,,,DNK,2016
2016-07-18,Midtjylland,Randers FC,2,2,,,,,,,,,,,,,,,1.84,3.48,4.24,,,,,,,,DNK,2016
2016-07-22,Aarhus,Viborg,2,1,,,,,,,,,,,,,,,2.02,3.35,3.71,,,,,,,,DNK,2016
2016-07-23,Esbjerg,FC Copenhagen,0,4,,,,,,,,,,,,,,,7.15,4.11,1.47,,,,,,,,DNK,2016
2016-07-24,Horsens,Sonderjyske,1,1,,,,,,,,,,,,,,,3.19,3.23,2.27,,,,,,,,DNK,2016
2016-07-24,Lyngby,Odense,2,2,,,,,,,,,,,,,,,3.01,3.4,2.28,,,,,,,,DNK,2016
2016-07-24,Silkeborg,Brondby,0,2,,,,,,,,,,,,,,,3.49,3.48,2.04,,,,,,,,DNK,2016
2016-07-24,Nordsjaelland,Midtjylland,0,4,,,,,,,,,,,,,,,2.57,3.37,2.65,,,,,,,,DNK,2016
2016-07-24,Randers FC,Aalborg,0,1,,,,,,,,,,,,,,,2.07,3.35,3.54,,,,,,,,DNK,2016
2016-07-29,Viborg,Esbjerg,2,1,,,,,,,,,,,,,,,2.04,3.3,3.69,,,,,,,,DNK,2016
2016-07-30,FC Copenhagen,Nordsjaelland,4,0,,,,,,,,,,,,,,,1.27,5.35,10.97,,,,,,,,DNK,2016
2016-07-31,Sonderjyske,Lyngby,0,1,,,,,,,,,,,,,,,1.98,3.42,3.71,,,,,,,,DNK,2016
2016-07-31,Midtjylland,Silkeborg,3,0,,,,,,,,,,,,,,,1.45,4.32,7.08,,,,,,,,DNK,2016
2016-07-31,Brondby,Horsens,2,2,,,,,,,,,,,,,,,1.52,4.08,6.21,,,,,,,,DNK,2016
2016-07-31,Aarhus,Randers FC,1,2,,,,,,,,,,,,,,,2.43,3.19,2.94,,,,,,,,DNK,2016
