date,home_team,away_team,home_goals,away_goals,ht_home_goals,ht_away_goals,home_shots,away_shots,home_sot,away_sot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,odds_home,odds_draw,odds_away,odds_btts_yes,odds_btts_no,odds_over25,odds_under25,odds_ah_line,odds_ah_home,odds_ah_away,league,season
2026-04-04,Inter Turku,VPS,0,0,,,,,,,,,,,,,,,1.4,4.0,7.0,,,,,,,,FIN,2026
2026-04-04,HJK,SJK,3,0,,,,,,,,,,,,,,,1.53,4.33,4.75,,,,,,,,FIN,2026
2026-04-04,Ilves,KuPS,1,3,,,,,,,,,,,,,,,2.6,3.3,2.4,,,,,,,,FIN,2026
2026-04-04,Jaro,Lahti,0,1,,,,,,,,,,,,,,,3.0,3.3,2.2,,,,,,,,FIN,2026
2026-04-04,Mariehamn,TPS,1,1,,,,,,,,,,,,,,,1.75,3.5,4.33,,,,,,,,FIN,2026
2026-04-04,Gnistan,AC Oulu,1,5,,,,,,,,,,,,,,,2.6,3.5,2.3,,,,,,,,FIN,2026
2026-04-10,TPS,Lahti,2,1,,,,,,,,,,,,,,,3.25,3.3,2.15,,,,,,,,FIN,2026
2026-04-10,SJK,Mariehamn,3,0,,,,,,,,,,,,,,,1.6,3.5,5.25,,,,,,,,FIN,2026
2026-04-10,VPS,Jaro,0,0,,,,,,,,,,,,,,,1.95,3.4,3.6,,,,,,,,FIN,2026
2026-04-11,KuPS,Gnistan,1,0,,,,,,,,,,,,,,,1.42,4.2,6.5,,,,,,,,FIN,2026
2026-04-11,HJK,AC Oulu,0,1,,,,,,,,,,,,,,,1.65,3.9,4.33,,,,,,,,FIN,2026
2026-04-11,Inter Turku,Ilves,2,1,,,,,,,,,,,,,,,2.1,3.4,3.1,,,,,,,,FIN,2026
2026-04-18,Gnistan,HJK,0,3,,,,,,,,,,,,,,,4.5,4.1,1.57,,,,,,,,FIN,2026
2026-04-18,Jaro,KuPS,1,1,,,,,,,,,,,,,,,5.5,3.8,1.55,,,,,,,,FIN,2026
2026-04-18,AC Oulu,VPS,1,0,,,,,,,,,,,,,,,1.65,3.5,5.0,,,,,,,,FIN,2026
2026-04-18,Lahti,Inter Turku,0,2,,,,,,,,,,,,,,,3.4,3.3,1.95,,,,,,,,FIN,2026
2026-04-18,TPS,SJK,2,0,,,,,,,,,,,,,,,3.5,3.4,1.9,,,,,,,,FIN,2026
2026-04-18,Mariehamn,Ilves,2,2,,,,,,,,,,,,,,,6.5,3.9,1.45,,,,,,,,FIN,2026
2026-04-22,KuPS,AC Oulu,3,2,,,,,,,,,,,,,,,1.83,3.6,3.8,,,,,,,,FIN,2026
2026-04-24,TPS,Gnistan,1,1,,,,,,,,,,,,,,,2.35,3.25,3.1,,,,,,,,FIN,2026
2026-04-24,VPS,Ilves,3,2,,,,,,,,,,,,,,,3.5,3.3,2.05,,,,,,,,FIN,2026
2026-04-24,SJK,Jaro,1,1,,,,,,,,,,,,,,,1.9,3.6,3.6,,,,,,,,FIN,2026
2026-04-25,Lahti,AC Oulu,2,1,,,,,,,,,,,,,,,2.75,3.4,2.35,,,,,,,,FIN,2026
2026-04-25,Inter Turku,Mariehamn,1,0,,,,,,,,,,,,,,,1.3,4.5,9.5,,,,,,,,FIN,2026
2026-04-26,KuPS,HJK,1,1,,,,,,,,,,,,,,,2.2,3.4,2.88,,,,,,,,FIN,2026
2026-04-29,Inter Turku,HJK,1,1,,,,,,,,,,,,,,,2.3,3.5,2.9,,,,,,,,FIN,2026
2026-05-02,SJK,Ilves,1,1,,,,,,,,,,,,,,,2.25,3.75,2.8,,,,,,,,FIN,2026
2026-05-02,Jaro,TPS,2,2,,,,,,,,,,,,,,,2.15,3.7,3.0,,,,,,,,FIN,2026
2026-05-02,Mariehamn,VPS,0,1,,,,,,,,,,,,,,,3.6,3.4,2.05,,,,,,,,FIN,2026
2026-05-02,AC Oulu,KuPS,2,0,,,,,,,,,,,,,,,2.9,3.4,2.35,,,,,,,,FIN,2026
2026-05-04,HJK,Lahti,1,0,,,,,,,,,,,,,,,1.6,3.9,5.5,,,,,,,,FIN,2026
2026-05-05,Gnistan,Inter Turku,2,0,,,,,,,,,,,,,,,4.33,3.7,1.67,,,,,,,,FIN,2026
