date,home_team,away_team,home_goals,away_goals,ht_home_goals,ht_away_goals,home_shots,away_shots,home_sot,away_sot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,odds_home,odds_draw,odds_away,odds_btts_yes,odds_btts_no,odds_over25,odds_under25,odds_ah_line,odds_ah_home,odds_ah_away,league,season
2017-04-01,Kristiansund,Molde,0,1,,,,,,,,,,,,,,,3.6,3.32,2.05,,,,,,,,NOR,2017
2017-04-02,Lillestrom,Sandefjord,2,1,,,,,,,,,,,,,,,1.65,3.83,5.01,,,,,,,,NOR,2017
2017-04-02,Sarpsborg 08,Sogndal,3,1,,,,,,,,,,,,,,,1.77,3.47,4.7,,,,,,,,NOR,2017
2017-04-02,Stabaek,Aalesund,3,1,,,,,,,,,,,,,,,2.63,3.23,2.66,,,,,,,,NOR,2017
2017-04-02,Stromsgodset,Haugesund,3,1,,,,,,,,,,,,,,,1.72,3.68,4.68,,,,,,,,NOR,2017
2017-04-02,Tromso,Brann,1,1,,,,,,,,,,,,,,,2.34,3.1,3.15,,,,,,,,NOR,2017
2017-04-02,Rosenborg,Odd,3,0,,,,,,,,,,,,,,,1.49,4.19,6.46,,,,,,,,NOR,2017
2017-04-03,Valerenga,Viking,1,0,,,,,,,,,,,,,,,1.83,3.47,4.3,,,,,,,,NOR,2017
2017-04-05,Aalesund,Sarpsborg 08,1,3,,,,,,,,,,,,,,,2.58,3.39,2.59,,,,,,,,NOR,2017
2017-04-05,Molde,Lillestrom,2,1,,,,,,,,,,,,,,,1.57,4.04,5.55,,,,,,,,NOR,2017
2017-04-05,Odd,Kristiansund,2,0,,,,,,,,,,,,,,,1.49,4.27,6.3,,,,,,,,NOR,2017
2017-04-05,Sandefjord,Rosenborg,0,3,,,,,,,,,,,,,,,8.64,4.9,1.34,,,,,,,,NOR,2017
2017-04-05,Sogndal,Stabaek,4,1,,,,,,,,,,,,,,,2.08,3.3,3.51,,,,,,,,NOR,2017
2017-04-06,Brann,Stromsgodset,3,0,,,,,,,,,,,,,,,2.21,3.22,3.28,,,,,,,,NOR,2017
2017-04-06,Haugesund,Valerenga,4,3,,,,,,,,,,,,,,,2.49,3.31,2.74,,,,,,,,NOR,2017
2017-04-06,Viking,Tromso,1,2,,,,,,,,,,,,,,,1.94,3.38,3.93,,,,,,,,NOR,2017
2017-04-08,Rosenborg,Molde,2,1,,,,,,,,,,,,,,,1.37,4.77,7.91,,,,,,,,NOR,2017
2017-04-09,Lillestrom,Haugesund,0,2,,,,,,,,,,,,,,,2.08,3.47,3.37,,,,,,,,NOR,2017
2017-04-09,Sarpsborg 08,Viking,3,0,,,,,,,,,,,,,,,1.76,3.58,4.53,,,,,,,,NOR,2017
2017-04-09,Stabaek,Odd,2,0,,,,,,,,,,,,,,,3.49,3.39,2.06,,,,,,,,NOR,2017
2017-04-09,Tromso,Sogndal,3,0,,,,,,,,,,,,,,,2.0,3.34,3.73,,,,,,,,NOR,2017
2017-04-09,Valerenga,Sandefjord,1,2,,,,,,,,,,,,,,,1.39,4.66,7.59,,,,,,,,NOR,2017
2017-04-09,Stromsgodset,Aalesund,1,1,,,,,,,,,,,,,,,1.48,4.4,6.14,,,,,,,,NOR,2017
2017-04-10,Kristiansund,Brann,1,0,,,,,,,,,,,,,,,3.72,3.3,2.02,,,,,,,,NOR,2017
2017-04-17,Aalesund,Lillestrom,3,1,,,,,,,,,,,,,,,2.43,3.4,2.76,,,,,,,,NOR,2017
2017-04-17,Brann,Haugesund,3,1,,,,,,,,,,,,,,,1.72,3.66,4.74,,,,,,,,NOR,2017
2017-04-17,Molde,Valerenga,4,0,,,,,,,,,,,,,,,1.64,3.87,5.06,,,,,,,,NOR,2017
2017-04-17,Sandefjord,Kristiansund,2,0,,,,,,,,,,,,,,,2.11,3.23,3.52,,,,,,,,NOR,2017
2017-04-17,Sogndal,Stromsgodset,1,1,,,,,,,,,,,,,,,2.77,3.37,2.43,,,,,,,,NOR,2017
2017-04-17,Stabaek,Sarpsborg 08,3,0,,,,,,,,,,,,,,,2.91,3.34,2.35,,,,,,,,NOR,2017
2017-04-17,Odd,Tromso,1,0,,,,,,,,,,,,,,,1.62,3.92,5.14,,,,,,,,NOR,2017
2017-04-17,Viking,Rosenborg,0,1,,,,,,,,,,,,,,,6.51,4.07,1.5,,,,,,,,NOR,2017
2017-04-22,Stromsgodset,Sandefjord,1,0,,,,,,,,,,,,,,,1.41,4.6,7.24,,,,,,,,NOR,2017
2017-04-23,Rosenborg,Aalesund,0,0,,,,,,,,,,,,,,,1.17,7.31,13.97,,,,,,,,NOR,2017
2017-04-23,Sarpsborg 08,Kristiansund,5,1,,,,,,,,,,,,,,,1.51,4.07,6.38,,,,,,,,NOR,2017
2017-04-23,Tromso,Stabaek,0,3,,,,,,,,,,,,,,,1.84,3.64,4.03,,,,,,,,NOR,2017
2017-04-23,Valerenga,Sogndal,3,0,,,,,,,,,,,,,,,1.72,3.73,4.62,,,,,,,,NOR,2017
2017-04-23,Viking,Odd,3,0,,,,,,,,,,,,,,,2.48,3.22,2.82,,,,,,,,NOR,2017
2017-04-23,Lillestrom,Brann,0,2,,,,,,,,,,,,,,,2.53,3.25,2.75,,,,,,,,NOR,2017
2017-04-24,Haugesund,Molde,0,0,,,,,,,,,,,,,,,3.06,3.42,2.24,,,,,,,,NOR,2017
2017-04-29,Brann,Viking,1,1,,,,,,,,,,,,,,,1.75,3.46,4.88,,,,,,,,NOR,2017
2017-04-30,Aalesund,Tromso,3,1,,,,,,,,,,,,,,,2.27,3.45,2.99,,,,,,,,NOR,2017
2017-04-30,Kristiansund,Stromsgodset,2,0,,,,,,,,,,,,,,,3.7,3.38,2.0,,,,,,,,NOR,2017
2017-04-30,Sandefjord,Molde,3,3,,,,,,,,,,,,,,,4.33,3.46,1.83,,,,,,,,NOR,2017
2017-04-30,Sogndal,Lillestrom,0,1,,,,,,,,,,,,,,,2.48,3.31,2.74,,,,,,,,NOR,2017
2017-04-30,Stabaek,Haugesund,0,3,,,,,,,,,,,,,,,1.97,3.56,3.6,,,,,,,,NOR,2017
2017-04-30,Odd,Valerenga,2,1,,,,,,,,,,,,,,,2.05,3.42,3.52,,,,,,,,NOR,2017
2017-05-01,Sarpsborg 08,Rosenborg,1,2,,,,,,,,,,,,,,,3.68,3.47,1.98,,,,,,,,NOR,2017
2017-05-06,Molde,Aalesund,0,1,,,,,,,,,,,,,,,1.55,4.19,5.48,,,,,,,,NOR,2017
2017-05-07,Haugesund,Sogndal,0,0,,,,,,,,,,,,,,,1.67,3.77,4.96,,,,,,,,NOR,2017
2017-05-07,Stromsgodset,Sarpsborg 08,1,1,,,,,,,,,,,,,,,2.13,3.43,3.27,,,,,,,,NOR,2017
2017-05-07,Tromso,Kristiansund,1,1,,,,,,,,,,,,,,,1.55,3.94,6.02,,,,,,,,NOR,2017
2017-05-07,Valerenga,Stabaek,1,1,,,,,,,,,,,,,,,1.85,3.68,3.96,,,,,,,,NOR,2017
2017-05-07,Viking,Sandefjord,0,2,,,,,,,,,,,,,,,1.57,3.86,5.95,,,,,,,,NOR,2017
2017-05-07,Rosenborg,Brann,2,1,,,,,,,,,,,,,,,1.52,4.05,6.31,,,,,,,,NOR,2017
2017-05-08,Lillestrom,Odd,0,1,,,,,,,,,,,,,,,2.27,3.33,3.07,,,,,,,,NOR,2017
2017-05-12,Aalesund,Valerenga,0,1,,,,,,,,,,,,,,,2.34,3.52,2.83,,,,,,,,NOR,2017
2017-05-13,Stabaek,Rosenborg,0,0,,,,,,,,,,,,,,,4.3,3.66,1.79,,,,,,,,NOR,2017
2017-05-13,Kristiansund,Lillestrom,1,1,,,,,,,,,,,,,,,3.13,3.12,2.33,,,,,,,,NOR,2017
2017-05-13,Odd,Stromsgodset,2,0,,,,,,,,,,,,,,,2.18,3.27,3.31,,,,,,,,NOR,2017
2017-05-13,Sandefjord,Haugesund,2,0,,,,,,,,,,,,,,,2.58,3.27,2.68,,,,,,,,NOR,2017
2017-05-13,Sarpsborg 08,Tromso,1,1,,,,,,,,,,,,,,,1.55,4.15,5.7,,,,,,,,NOR,2017
2017-05-13,Sogndal,Viking,4,0,,,,,,,,,,,,,,,3.23,3.17,2.26,,,,,,,,NOR,2017
2017-05-13,Brann,Molde,4,1,,,,,,,,,,,,,,,2.02,3.35,3.69,,,,,,,,NOR,2017
2017-05-16,Brann,Sandefjord,5,0,,,,,,,,,,,,,,,1.45,4.21,7.27,,,,,,,,NOR,2017
2017-05-16,Haugesund,Odd,0,2,,,,,,,,,,,,,,,2.42,3.3,2.85,,,,,,,,NOR,2017
2017-05-16,Lillestrom,Sarpsborg 08,1,2,,,,,,,,,,,,,,,2.37,3.3,2.91,,,,,,,,NOR,2017
2017-05-16,Molde,Sogndal,1,2,,,,,,,,,,,,,,,1.5,4.12,6.5,,,,,,,,NOR,2017
2017-05-16,Valerenga,Kristiansund,1,0,,,,,,,,,,,,,,,1.47,4.2,6.79,,,,,,,,NOR,2017
2017-05-16,Viking,Aalesund,1,2,,,,,,,,,,,,,,,1.68,3.91,4.75,,,,,,,,NOR,2017
2017-05-16,Rosenborg,Tromso,1,2,,,,,,,,,,,,,,,1.27,5.54,10.03,,,,,,,,NOR,2017
2017-05-16,Stromsgodset,Stabaek,1,2,,,,,,,,,,,,,,,2.05,3.47,3.45,,,,,,,,NOR,2017
2017-05-20,Rosenborg,Lillestrom,1,1,,,,,,,,,,,,,,,1.36,4.86,8.2,,,,,,,,NOR,2017
2017-05-20,Sogndal,Brann,2,3,,,,,,,,,,,,,,,3.44,3.25,2.14,,,,,,,,NOR,2017
2017-05-21,Aalesund,Sandefjord,2,0,,,,,,,,,,,,,,,1.76,3.75,4.33,,,,,,,,NOR,2017
2017-05-21,Kristiansund,Haugesund,3,2,,,,,,,,,,,,,,,2.63,3.09,2.74,,,,,,,,NOR,2017
2017-05-21,Sarpsborg 08,Valerenga,2,0,,,,,,,,,,,,,,,1.87,3.6,3.93,,,,,,,,NOR,2017
2017-05-21,Tromso,Stromsgodset,1,1,,,,,,,,,,,,,,,2.29,3.33,3.04,,,,,,,,NOR,2017
2017-05-21,Odd,Molde,1,2,,,,,,,,,,,,,,,2.17,3.34,3.26,,,,,,,,NOR,2017
2017-05-22,Stabaek,Viking,1,1,,,,,,,,,,,,,,,1.94,3.44,3.85,,,,,,,,NOR,2017
2017-05-27,Sandefjord,Odd,0,0,,,,,,,,,,,,,,,3.74,3.28,2.03,,,,,,,,NOR,2017
2017-05-28,Brann,Aalesund,1,1,,,,,,,,,,,,,,,1.52,4.14,5.95,,,,,,,,NOR,2017
2017-05-28,Haugesund,Sarpsborg 08,0,0,,,,,,,,,,,,,,,2.57,3.35,2.63,,,,,,,,NOR,2017
2017-05-28,Kristiansund,Sogndal,1,1,,,,,,,,,,,,,,,2.3,3.16,3.17,,,,,,,,NOR,2017
2017-05-28,Lillestrom,Tromso,4,1,,,,,,,,,,,,,,,1.88,3.51,3.99,,,,,,,,NOR,2017
2017-05-28,Molde,Stabaek,3,1,,,,,,,,,,,,,,,1.87,3.59,3.96,,,,,,,,NOR,2017
2017-05-28,Valerenga,Rosenborg,1,1,,,,,,,,,,,,,,,4.1,3.59,1.84,,,,,,,,NOR,2017
2017-05-29,Stromsgodset,Viking,4,2,,,,,,,,,,,,,,,1.89,3.45,4.08,,,,,,,,NOR,2017
2017-06-03,Tromso,Valerenga,2,4,,,,,,,,,,,,,,,2.65,3.35,2.56,,,,,,,,NOR,2017
