date,home_team,away_team,home_goals,away_goals,ht_home_goals,ht_away_goals,home_shots,away_shots,home_sot,away_sot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,odds_home,odds_draw,odds_away,odds_btts_yes,odds_btts_no,odds_over25,odds_under25,odds_ah_line,odds_ah_home,odds_ah_away,league,season
2020-06-14,Sirius,Djurgarden,0,2,,,,,,,,,,,,,,,6.27,3.82,1.57,,,,,,,,SWE,2020
2020-06-14,Goteborg,Elfsborg,0,1,,,,,,,,,,,,,,,2.05,3.31,3.71,,,,,,,,SWE,2020
2020-06-14,Norrkoping,Kalmar,2,1,,,,,,,,,,,,,,,1.86,3.47,4.31,,,,,,,,SWE,2020
2020-06-14,Hammarby,Ostersunds,2,0,,,,,,,,,,,,,,,1.31,5.46,8.68,,,,,,,,SWE,2020
2020-06-14,Orebro,AIK,0,2,,,,,,,,,,,,,,,4.02,3.33,1.97,,,,,,,,SWE,2020
2020-06-15,Falkenbergs,Hacken,1,1,,,,,,,,,,,,,,,5.08,3.76,1.68,,,,,,,,SWE,2020
2020-06-15,Helsingborg,Varberg,0,3,,,,,,,,,,,,,,,2.6,3.34,2.64,,,,,,,,SWE,2020
2020-06-15,Malmo FF,Mjallby,2,0,,,,,,,,,,,,,,,1.38,4.7,8.21,,,,,,,,SWE,2020
2020-06-17,AIK,Norrkoping,1,4,,,,,,,,,,,,,,,2.8,3.04,2.68,,,,,,,,SWE,2020
2020-06-17,Djurgarden,Orebro,1,2,,,,,,,,,,,,,,,1.53,4.13,6.21,,,,,,,,SWE,2020
2020-06-17,Elfsborg,Hammarby,2,2,,,,,,,,,,,,,,,3.4,3.59,2.06,,,,,,,,SWE,2020
2020-06-18,Hacken,Malmo FF,1,1,,,,,,,,,,,,,,,2.98,3.13,2.48,,,,,,,,SWE,2020
2020-06-18,Kalmar,Helsingborg,4,0,,,,,,,,,,,,,,,1.76,3.54,4.78,,,,,,,,SWE,2020
2020-06-18,Mjallby,Falkenbergs,0,1,,,,,,,,,,,,,,,2.15,3.4,3.33,,,,,,,,SWE,2020
2020-06-18,Ostersunds,Sirius,0,2,,,,,,,,,,,,,,,2.47,3.25,2.88,,,,,,,,SWE,2020
2020-06-18,Varberg,Goteborg,1,2,,,,,,,,,,,,,,,3.14,3.15,2.36,,,,,,,,SWE,2020
2020-06-21,Falkenbergs,Kalmar,0,2,,,,,,,,,,,,,,,3.44,3.28,2.16,,,,,,,,SWE,2020
2020-06-21,Malmo FF,Varberg,2,2,,,,,,,,,,,,,,,1.28,5.47,10.84,,,,,,,,SWE,2020
2020-06-21,Norrkoping,Djurgarden,3,0,,,,,,,,,,,,,,,2.24,3.28,3.25,,,,,,,,SWE,2020
2020-06-21,Hammarby,AIK,0,2,,,,,,,,,,,,,,,1.86,3.6,4.09,,,,,,,,SWE,2020
2020-06-21,Orebro,Ostersunds,0,0,,,,,,,,,,,,,,,2.03,3.48,3.61,,,,,,,,SWE,2020
2020-06-22,Goteborg,Mjallby,2,2,,,,,,,,,,,,,,,2.2,3.13,3.52,,,,,,,,SWE,2020
2020-06-22,Helsingborg,Elfsborg,0,0,,,,,,,,,,,,,,,5.17,3.94,1.64,,,,,,,,SWE,2020
2020-06-22,Sirius,Hacken,2,2,,,,,,,,,,,,,,,3.6,3.33,2.08,,,,,,,,SWE,2020
2020-06-27,Ostersunds,Norrkoping,2,4,,,,,,,,,,,,,,,4.92,3.81,1.69,,,,,,,,SWE,2020
2020-06-28,Djurgarden,Kalmar,5,0,,,,,,,,,,,,,,,1.89,3.44,4.21,,,,,,,,SWE,2020
2020-06-28,Mjallby,Hammarby,2,1,,,,,,,,,,,,,,,4.53,3.74,1.75,,,,,,,,SWE,2020
2020-06-28,Sirius,Goteborg,2,2,,,,,,,,,,,,,,,2.52,3.16,2.88,,,,,,,,SWE,2020
2020-06-28,AIK,Malmo FF,2,2,,,,,,,,,,,,,,,3.59,3.24,2.12,,,,,,,,SWE,2020
2020-06-28,Elfsborg,Orebro,1,1,,,,,,,,,,,,,,,1.94,3.55,3.84,,,,,,,,SWE,2020
2020-06-29,Hacken,Helsingborg,1,0,,,,,,,,,,,,,,,1.46,4.5,6.67,,,,,,,,SWE,2020
2020-06-29,Varberg,Falkenbergs,3,1,,,,,,,,,,,,,,,2.3,3.33,3.08,,,,,,,,SWE,2020
2020-07-01,Kalmar,Ostersunds,1,2,,,,,,,,,,,,,,,1.81,3.64,4.3,,,,,,,,SWE,2020
2020-07-01,Malmo FF,Djurgarden,1,0,,,,,,,,,,,,,,,1.85,3.59,4.22,,,,,,,,SWE,2020
2020-07-01,Norrkoping,Elfsborg,1,1,,,,,,,,,,,,,,,1.87,3.69,3.93,,,,,,,,SWE,2020
2020-07-02,Falkenbergs,Sirius,1,2,,,,,,,,,,,,,,,2.88,3.24,2.48,,,,,,,,SWE,2020
2020-07-02,Goteborg,AIK,1,0,,,,,,,,,,,,,,,2.43,3.15,3.02,,,,,,,,SWE,2020
2020-07-02,Hammarby,Varberg,1,0,,,,,,,,,,,,,,,1.44,4.7,6.53,,,,,,,,SWE,2020
2020-07-02,Helsingborg,Mjallby,0,1,,,,,,,,,,,,,,,3.13,3.3,2.29,,,,,,,,SWE,2020
2020-07-02,Orebro,Hacken,0,0,,,,,,,,,,,,,,,3.7,3.48,2.0,,,,,,,,SWE,2020
2020-07-05,AIK,Falkenbergs,1,1,,,,,,,,,,,,,,,1.64,3.82,5.31,,,,,,,,SWE,2020
2020-07-05,Elfsborg,Malmo FF,1,0,,,,,,,,,,,,,,,3.64,3.3,2.08,,,,,,,,SWE,2020
2020-07-05,Hacken,Hammarby,3,0,,,,,,,,,,,,,,,2.58,3.35,2.68,,,,,,,,SWE,2020
2020-07-05,Sirius,Orebro,2,1,,,,,,,,,,,,,,,2.05,3.51,3.5,,,,,,,,SWE,2020
2020-07-06,Djurgarden,Helsingborg,2,2,,,,,,,,,,,,,,,1.32,5.13,9.5,,,,,,,,SWE,2020
2020-07-06,Norrkoping,Goteborg,3,1,,,,,,,,,,,,,,,1.56,4.23,5.54,,,,,,,,SWE,2020
2020-07-06,Ostersunds,Mjallby,0,1,,,,,,,,,,,,,,,2.92,3.28,2.42,,,,,,,,SWE,2020
2020-07-06,Varberg,Kalmar,1,0,,,,,,,,,,,,,,,2.46,3.19,2.93,,,,,,,,SWE,2020
2020-07-11,Falkenbergs,Ostersunds,0,1,,,,,,,,,,,,,,,1.84,3.52,4.29,,,,,,,,SWE,2020
2020-07-11,Hammarby,Sirius,0,0,,,,,,,,,,,,,,,1.54,4.31,5.63,,,,,,,,SWE,2020
2020-07-12,Helsingborg,AIK,2,0,,,,,,,,,,,,,,,3.76,3.22,2.07,,,,,,,,SWE,2020
2020-07-12,Orebro,Varberg,1,0,,,,,,,,,,,,,,,2.75,3.3,2.53,,,,,,,,SWE,2020
2020-07-12,Goteborg,Djurgarden,1,2,,,,,,,,,,,,,,,3.09,3.27,2.34,,,,,,,,SWE,2020
2020-07-12,Mjallby,Hacken,3,1,,,,,,,,,,,,,,,3.06,3.08,2.43,,,,,,,,SWE,2020
2020-07-13,Kalmar,Elfsborg,1,2,,,,,,,,,,,,,,,3.1,3.18,2.36,,,,,,,,SWE,2020
2020-07-13,Malmo FF,Norrkoping,1,1,,,,,,,,,,,,,,,1.94,3.51,3.84,,,,,,,,SWE,2020
2020-07-15,AIK,Sirius,1,0,,,,,,,,,,,,,,,2.18,3.16,3.5,,,,,,,,SWE,2020
2020-07-15,Djurgarden,Falkenbergs,1,0,,,,,,,,,,,,,,,1.38,4.58,8.41,,,,,,,,SWE,2020
2020-07-15,Goteborg,Helsingborg,1,1,,,,,,,,,,,,,,,1.85,3.45,4.33,,,,,,,,SWE,2020
2020-07-16,Hacken,Elfsborg,6,0,,,,,,,,,,,,,,,2.3,3.21,3.2,,,,,,,,SWE,2020
2020-07-16,Kalmar,Hammarby,1,2,,,,,,,,,,,,,,,3.35,3.51,2.09,,,,,,,,SWE,2020
2020-07-16,Norrkoping,Orebro,2,0,,,,,,,,,,,,,,,1.26,5.89,10.11,,,,,,,,SWE,2020
2020-07-16,Ostersunds,Malmo FF,1,2,,,,,,,,,,,,,,,8.98,4.78,1.35,,,,,,,,SWE,2020
2020-07-16,Varberg,Mjallby,1,0,,,,,,,,,,,,,,,2.97,3.15,2.45,,,,,,,,SWE,2020
2020-07-19,Malmo FF,Kalmar,2,1,,,,,,,,,,,,,,,1.29,5.22,10.38,,,,,,,,SWE,2020
2020-07-19,Sirius,Norrkoping,4,2,,,,,,,,,,,,,,,4.66,3.83,1.71,,,,,,,,SWE,2020
2020-07-19,Varberg,AIK,2,2,,,,,,,,,,,,,,,3.39,3.21,2.2,,,,,,,,SWE,2020
2020-07-19,Elfsborg,Djurgarden,1,0,,,,,,,,,,,,,,,2.84,3.23,2.49,,,,,,,,SWE,2020
2020-07-19,Falkenbergs,Helsingborg,2,2,,,,,,,,,,,,,,,2.44,3.17,2.96,,,,,,,,SWE,2020
2020-07-19,Ostersunds,Hacken,2,2,,,,,,,,,,,,,,,4.95,3.67,1.7,,,,,,,,SWE,2020
2020-07-20,Hammarby,Goteborg,1,1,,,,,,,,,,,,,,,1.82,3.7,4.15,,,,,,,,SWE,2020
2020-07-20,Orebro,Mjallby,3,1,,,,,,,,,,,,,,,3.4,3.24,2.18,,,,,,,,SWE,2020
2020-07-22,Djurgarden,Ostersunds,0,0,,,,,,,,,,,,,,,1.43,4.51,7.02,,,,,,,,SWE,2020
2020-07-22,Hacken,AIK,4,0,,,,,,,,,,,,,,,1.98,3.32,3.91,,,,,,,,SWE,2020
2020-07-22,Norrkoping,Varberg,2,0,,,,,,,,,,,,,,,1.37,4.83,7.94,,,,,,,,SWE,2020
2020-07-23,Goteborg,Falkenbergs,2,2,,,,,,,,,,,,,,,1.57,3.96,5.89,,,,,,,,SWE,2020
2020-07-23,Helsingborg,Orebro,1,1,,,,,,,,,,,,,,,2.44,3.3,2.89,,,,,,,,SWE,2020
2020-07-23,Kalmar,Sirius,1,1,,,,,,,,,,,,,,,2.92,3.25,2.44,,,,,,,,SWE,2020
2020-07-23,Malmo FF,Hammarby,3,0,,,,,,,,,,,,,,,1.62,4.11,5.07,,,,,,,,SWE,2020
2020-07-23,Mjallby,Elfsborg,0,5,,,,,,,,,,,,,,,2.87,3.1,2.58,,,,,,,,SWE,2020
2020-07-26,Elfsborg,Varberg,3,3,,,,,,,,,,,,,,,1.77,3.62,4.56,,,,,,,,SWE,2020
2020-07-26,Falkenbergs,Norrkoping,3,3,,,,,,,,,,,,,,,5.32,4.2,1.58,,,,,,,,SWE,2020
2020-07-26,Hacken,Goteborg,0,0,,,,,,,,,,,,,,,2.16,3.49,3.21,,,,,,,,SWE,2020
2020-07-26,AIK,Djurgarden,0,1,,,,,,,,,,,,,,,2.94,3.04,2.56,,,,,,,,SWE,2020
2020-07-26,Sirius,Malmo FF,2,5,,,,,,,,,,,,,,,5.69,3.98,1.58,,,,,,,,SWE,2020
2020-07-27,Hammarby,Orebro,3,0,,,,,,,,,,,,,,,1.57,4.28,5.47,,,,,,,,SWE,2020
2020-07-27,Mjallby,Kalmar,2,2,,,,,,,,,,,,,,,2.33,3.21,3.15,,,,,,,,SWE,2020
2020-07-27,Ostersunds,Helsingborg,0,0,,,,,,,,,,,,,,,2.78,3.18,2.59,,,,,,,,SWE,2020
2020-08-01,Djurgarden,Hacken,3,1,,,,,,,,,,,,,,,2.24,3.22,3.33,,,,,,,,SWE,2020
2020-08-01,Orebro,Falkenbergs,1,2,,,,,,,,,,,,,,,2.18,3.49,3.18,,,,,,,,SWE,2020
2020-08-02,Helsingborg,Hammarby,1,1,,,,,,,,,,,,,,,3.84,3.8,1.87,,,,,,,,SWE,2020
2020-08-02,Goteborg,Malmo FF,0,3,,,,,,,,,,,,,,,4.06,3.52,1.89,,,,,,,,SWE,2020
2020-08-02,Varberg,Ostersunds,1,1,,,,,,,,,,,,,,,1.89,3.46,4.19,,,,,,,,SWE,2020
2020-08-02,Kalmar,AIK,0,0,,,,,,,,,,,,,,,3.08,3.11,2.43,,,,,,,,SWE,2020
2020-08-03,Elfsborg,Sirius,3,3,,,,,,,,,,,,,,,1.95,3.61,3.72,,,,,,,,SWE,2020
2020-08-03,Norrkoping,Mjallby,1,1,,,,,,,,,,,,,,,1.39,5.05,7.07,,,,,,,,SWE,2020
2020-08-05,Hammarby,Falkenbergs,1,1,,,,,,,,,,,,,,,1.5,4.55,5.85,,,,,,,,SWE,2020
2020-08-05,Malmo FF,Helsingborg,4,1,,,,,,,,,,,,,,,1.3,5.5,9.43,,,,,,,,SWE,2020
2020-08-05,Varberg,Djurgarden,1,2,,,,,,,,,,,,,,,3.87,3.34,2.0,,,,,,,,SWE,2020
