prediction_date,match_date,league,home_team,away_team,model_prob_btts,model_prob_over25,real_odds_over25,implied_prob_over25,edge_over25,bet_flag,actual_over25,profit_loss,notes
2026-05-03,2026-05-09,Bundesliga,RasenBallsport Leipzig,St. Pauli,0.6501,0.6825,1.54,0.6494,0.0332,False,,,
2026-05-03,2026-05-09,La_Liga,Atletico Madrid,Celta Vigo,0.5877,0.581,1.73,0.578,0.003,False,,,
2026-05-03,2026-05-09,La_Liga,Real Sociedad,Real Betis,0.5844,0.5659,1.75,0.5714,-0.0055,False,,,
2026-05-03,2026-05-10,EPL,Nottingham Forest,Newcastle United,0.5791,0.5478,1.73,0.578,-0.0302,False,,,
2026-05-03,2026-05-08,Bundesliga,Borussia Dortmund,Eintracht Frankfurt,0.6353,0.659,1.36,0.7353,-0.0763,False,,,
2026-05-03,2026-05-09,Bundesliga,VfB Stuttgart,Bayer Leverkusen,0.6421,0.6424,1.36,0.7353,-0.0929,False,,,
2026-05-03,2026-05-10,La_Liga,Real Oviedo,Getafe,0.5601,0.5297,2.75,0.3636,0.1661,True,,,
2026-05-03,2026-05-03,Bundesliga,St. Pauli,Mainz 05,0.6279,0.6099,2.18,0.4587,0.1512,True,,,
2026-05-03,2026-05-10,EPL,Crystal Palace,Everton,0.6245,0.613,2.06,0.4854,0.1276,True,,,
2026-05-03,2026-05-10,Serie_A,Cremonese,Pisa,0.5906,0.5643,2.2,0.4545,0.1097,True,,,
2026-05-03,2026-05-03,Ligue_1,Paris FC,Brest,0.6262,0.6156,1.93,0.5181,0.0975,True,,,
2026-05-03,2026-05-03,La_Liga,Real Betis,Real Oviedo,0.5861,0.607,1.92,0.5208,0.0861,True,,,
2026-05-03,2026-05-03,Bundesliga,Freiburg,Wolfsburg,0.6513,0.6699,1.7,0.5882,0.0817,True,,,
2026-05-03,2026-05-08,La_Liga,Levante,Osasuna,0.5893,0.5793,2.0,0.5,0.0793,False,,,
2026-05-03,2026-05-03,La_Liga,Getafe,Rayo Vallecano,0.505,0.4614,2.6,0.3846,0.0768,False,,,
2026-05-03,2026-05-10,Bundesliga,Mainz 05,Union Berlin,0.6123,0.6293,1.8,0.5556,0.0737,False,,,
2026-05-03,2026-05-04,EPL,Chelsea,Nottingham Forest,0.6326,0.6402,1.74,0.5747,0.0655,False,,,
2026-05-03,2026-05-03,Ligue_1,Lille,Le Havre,0.5898,0.6013,1.85,0.5405,0.0607,False,,,
2026-05-03,2026-05-03,Serie_A,Bologna,Cagliari,0.5649,0.5407,2.08,0.4808,0.06,False,,,
2026-05-03,2026-05-10,Serie_A,AC Milan,Atalanta,0.6268,0.6112,1.8,0.5556,0.0557,False,,,
2026-05-03,2026-05-04,Serie_A,Cremonese,Lazio,0.531,0.489,2.24,0.4464,0.0425,False,,,
2026-05-03,2026-05-03,Ligue_1,Auxerre,Angers,0.5135,0.4947,2.2,0.4545,0.0402,False,,,
2026-05-03,2026-05-09,La_Liga,Sevilla,Espanyol,0.5667,0.5339,2.02,0.495,0.0388,False,,,
2026-05-03,2026-05-11,EPL,Tottenham,Leeds,0.628,0.6089,1.75,0.5714,0.0374,False,,,
2026-05-03,2026-05-08,Serie_A,Torino,Sassuolo,0.5683,0.5334,2.0,0.5,0.0334,False,,,
2026-05-03,2026-05-03,Ligue_1,Lyon,Rennes,0.6425,0.6391,1.65,0.6061,0.033,False,,,
2026-05-03,2026-05-09,EPL,Fulham,Bournemouth,0.6781,0.6772,1.55,0.6452,0.032,False,,,
2026-05-03,2026-05-04,La_Liga,Sevilla,Real Sociedad,0.5626,0.5259,2.02,0.495,0.0308,False,,,
2026-05-03,2026-05-09,Serie_A,Cagliari,Udinese,0.5163,0.4689,2.28,0.4386,0.0303,False,,,
2026-05-03,2026-05-10,Serie_A,Parma Calcio 1913,Roma,0.5446,0.5017,2.1,0.4762,0.0255,False,,,
2026-05-03,2026-05-10,Serie_A,Fiorentina,Genoa,0.5433,0.5131,2.05,0.4878,0.0253,False,,,
2026-05-03,2026-05-10,Ligue_1,Angers,Strasbourg,0.5914,0.5633,1.85,0.5405,0.0228,False,,,
2026-05-03,2026-05-10,La_Liga,Athletic Club,Valencia,0.5585,0.5439,1.91,0.5236,0.0203,False,,,
2026-05-03,2026-05-10,EPL,Burnley,Aston Villa,0.6147,0.5927,1.73,0.578,0.0146,False,,,
2026-05-03,2026-05-09,Bundesliga,Augsburg,Borussia M.Gladbach,0.6419,0.6298,1.62,0.6173,0.0125,False,,,
2026-05-03,2026-05-04,Serie_A,Roma,Fiorentina,0.531,0.5157,1.96,0.5102,0.0055,False,,,
2026-05-03,2026-05-10,Bundesliga,Hamburger SV,Freiburg,0.6051,0.5798,1.73,0.578,0.0018,False,,,
2026-05-03,2026-05-10,Ligue_1,Monaco,Lille,0.6285,0.6115,1.62,0.6173,-0.0058,False,,,
2026-05-03,2026-05-10,La_Liga,Mallorca,Villarreal,0.5934,0.5646,1.75,0.5714,-0.0069,False,,,
2026-05-03,2026-05-03,La_Liga,Celta Vigo,Elche,0.5473,0.5553,1.76,0.5682,-0.0128,False,,,
2026-05-03,2026-05-11,La_Liga,Rayo Vallecano,Girona,0.5609,0.5423,1.8,0.5556,-0.0132,False,,,
2026-05-03,2026-05-10,Ligue_1,Le Havre,Marseille,0.6218,0.6099,1.6,0.625,-0.0151,False,,,
2026-05-03,2026-05-10,Ligue_1,Auxerre,Nice,0.5374,0.5033,1.91,0.5236,-0.0202,False,,,
2026-05-03,2026-05-09,EPL,Sunderland,Manchester United,0.5874,0.5571,1.73,0.578,-0.0209,False,,,
2026-05-03,2026-05-03,Serie_A,Sassuolo,AC Milan,0.5497,0.5402,1.78,0.5618,-0.0216,False,,,
2026-05-03,2026-05-10,Bundesliga,FC Cologne,FC Heidenheim,0.6289,0.6222,1.55,0.6452,-0.023,False,,,
2026-05-03,2026-05-10,Ligue_1,Toulouse,Lyon,0.5552,0.5168,1.85,0.5405,-0.0237,False,,,
2026-05-03,2026-05-03,Ligue_1,Strasbourg,Toulouse,0.543,0.5116,1.86,0.5376,-0.026,False,,,
2026-05-03,2026-05-03,EPL,Manchester United,Liverpool,0.6503,0.6404,1.5,0.6667,-0.0263,False,,,
2026-05-03,2026-05-03,EPL,Bournemouth,Crystal Palace,0.5733,0.5534,1.72,0.5814,-0.028,False,,,
2026-05-03,2026-05-04,EPL,Everton,Manchester City,0.5923,0.569,1.67,0.5988,-0.0298,False,,,
2026-05-03,2026-05-09,Serie_A,Lecce,Juventus,0.5472,0.5236,1.79,0.5587,-0.035,False,,,
2026-05-03,2026-05-10,Ligue_1,Metz,Lorient,0.5654,0.5349,1.75,0.5714,-0.0365,False,,,
2026-05-03,2026-05-03,EPL,Aston Villa,Tottenham,0.5611,0.5343,1.75,0.5714,-0.0372,False,,,
2026-05-03,2026-05-09,Serie_A,Lazio,Inter,0.5584,0.5251,1.75,0.5714,-0.0464,False,,,
2026-05-03,2026-05-11,Serie_A,Napoli,Bologna,0.5302,0.4833,1.88,0.5319,-0.0486,False,,,
2026-05-03,2026-05-08,Ligue_1,Lens,Nantes,0.5598,0.5966,1.55,0.6452,-0.0486,False,,,
2026-05-03,2026-05-10,EPL,West Ham,Arsenal,0.5666,0.5451,1.68,0.5952,-0.0502,False,,,
2026-05-03,2026-05-09,EPL,Liverpool,Chelsea,0.6537,0.6433,1.44,0.6944,-0.0511,False,,,
2026-05-03,2026-05-03,La_Liga,Espanyol,Real Madrid,0.613,0.5935,1.55,0.6452,-0.0516,False,,,
2026-05-03,2026-05-03,Bundesliga,Borussia M.Gladbach,Borussia Dortmund,0.6093,0.5847,1.57,0.6369,-0.0522,False,,,
2026-05-03,2026-05-03,Serie_A,Juventus,Verona,0.5329,0.5517,1.6,0.625,-0.0733,False,,,
2026-05-03,2026-05-10,Ligue_1,Rennes,Paris FC,0.5836,0.5662,1.51,0.6623,-0.096,False,,,
2026-05-03,2026-05-09,Bundesliga,Hoffenheim,Werder Bremen,0.6106,0.6181,1.4,0.7143,-0.0962,False,,,
2026-05-03,2026-05-09,EPL,Brighton,Wolverhampton Wanderers,0.5499,0.5458,1.53,0.6536,-0.1077,False,,,
2026-05-03,2026-05-10,La_Liga,Barcelona,Real Madrid,0.6712,0.6898,1.25,0.8,-0.1102,False,,,
2026-05-03,2026-05-09,EPL,Manchester City,Brentford,0.5985,0.598,1.4,0.7143,-0.1163,False,,,
2026-05-03,2026-05-09,Bundesliga,Wolfsburg,Bayern Munich,0.6834,0.6937,1.22,0.8197,-0.126,False,,,
2026-05-03,2026-05-10,Ligue_1,Paris Saint Germain,Brest,0.5714,0.6225,1.33,0.7519,-0.1294,False,,,
2026-05-03,2026-05-03,Serie_A,Inter,Parma Calcio 1913,0.5055,0.5583,1.44,0.6944,-0.1361,False,,,
2026-05-03,2026-05-10,Serie_A,Verona,Como,0.4461,0.3807,1.88,0.5319,-0.1512,False,,,
2026-05-03,2026-05-09,La_Liga,Elche,Alaves,0.6487,0.6353,1.82,0.5495,0.0858,True,,,
