prediction_date,match_date,league,home_team,away_team,ah_line,bet_side,model_prob_ah,odds_ah,implied_prob,edge,bet_flag,actual_home_goals,actual_away_goals,actual_ah_result,profit_loss,notes
2026-05-03,2026-05-04,EPL,Everton,Manchester City,1.0,home,0.554,2.14,0.4673,0.0917,True,3,3,Win,11.4,
2026-05-03,2026-05-09,EPL,Liverpool,Chelsea,-0.5,away,0.5812,1.8,0.5556,0.0897,True,1,1,Win,8.0,
2026-05-03,2026-05-03,EPL,Bournemouth,Crystal Palace,-1.0,away,0.52,1.95,0.5128,0.0112,False,3,0,Loss,-10.0,
2026-05-03,2026-05-04,EPL,Chelsea,Nottingham Forest,-0.75,away,0.4763,2.06,0.4854,-0.0035,False,1,3,Win,10.6,
2026-05-03,2026-05-03,EPL,Manchester United,Liverpool,-0.25,home,0.4321,2.1,0.4762,-0.0416,False,3,2,Win,11.0,
2026-05-03,2026-05-03,EPL,Aston Villa,Tottenham,-0.25,home,0.4646,1.92,0.5208,-0.053,False,1,2,Loss,-10.0,
2026-05-05,2026-05-09,EPL,Manchester City,Brentford,-1.5,away,0.7043,1.78,0.5618,0.1919,True,3,0,Loss,-10.0,
2026-05-05,2026-05-09,EPL,Brighton,Wolverhampton Wanderers,-1.75,away,0.6989,1.86,0.5376,0.1758,True,3,0,Loss,-10.0,
2026-05-05,2026-05-09,EPL,Sunderland,Manchester United,0.5,home,0.5957,1.97,0.5076,0.0983,True,0,0,Win,9.7,
2026-05-05,2026-05-09,EPL,Fulham,Bournemouth,0.0,home,0.4437,2.08,0.4808,-0.0243,False,0,1,Loss,-10.0,
2026-05-05,2026-05-10,EPL,Burnley,Aston Villa,1.0,home,0.5883,1.84,0.5435,0.0577,False,2,2,Win,8.4,
2026-05-05,2026-05-10,EPL,Crystal Palace,Everton,0.0,home,0.4629,2.02,0.495,-0.0178,False,2,2,Push,0.0,
2026-05-05,2026-05-10,EPL,Nottingham Forest,Newcastle United,0.0,home,0.4174,1.95,0.5128,-0.0826,False,1,1,Push,0.0,
2026-05-12,2026-05-13,EPL,Manchester City,Crystal Palace,-2.5,away,0.87,1.55,0.6452,0.2624,True,,,,,
2026-05-12,2026-05-15,EPL,Aston Villa,Liverpool,1.5,home,0.8335,1.22,0.8197,0.0628,False,,,,,
2026-05-12,2026-05-17,EPL,Wolverhampton Wanderers,Fulham,1.5,home,0.8229,1.3,0.7692,0.0995,True,,,,,
2026-05-12,2026-05-17,EPL,Manchester United,Nottingham Forest,-1.5,away,0.7075,1.48,0.6757,0.0702,True,,,,,
2026-05-12,2026-05-17,EPL,Brentford,Crystal Palace,-1.5,away,0.7356,1.38,0.7246,0.0507,False,,,,,
2026-05-12,2026-05-17,EPL,Everton,Sunderland,-1.5,away,0.7638,1.3,0.7692,0.0434,False,,,,,
2026-05-12,2026-05-18,EPL,Arsenal,Burnley,-2.5,away,0.7975,1.91,0.5236,0.3055,True,,,,,
2026-05-12,2026-05-17,EPL,Leeds,Brighton,1.5,home,0.8545,1.22,0.8197,0.0838,True,,,,,
2026-05-12,2026-05-17,EPL,Newcastle United,West Ham,-1.5,home,0.2713,3.7,0.2703,0.0188,False,,,,,
2026-05-14,2026-05-19,EPL,Bournemouth,Manchester City,1.5,home,0.8151,1.42,0.7042,0.1516,True,,,,,
2026-05-14,2026-05-19,EPL,Chelsea,Tottenham,-1.5,home,0.2638,3.85,0.2597,0.0187,False,,,,,
